symbol,mechanism,slip_ticks,per_trade,net,trades
ES,trend.ret_30.q80,0.0,-13.799612367328104,-29903.760000000002,2167
ES,trend.ret_30.q80,0.5,-20.049612367328105,-43447.51,2167
ES,trend.ret_30.q80,1.0,-26.299612367328105,-56991.26,2167
ES,trend.ret_30.q80,2.0,-38.7996123673281,-84078.76,2167
ES,breakout.range_expansion.q80,0.0,-6.972934782608695,-6415.099999999999,920
ES,breakout.range_expansion.q80,0.5,-13.222934782608695,-12165.099999999999,920
ES,breakout.range_expansion.q80,1.0,-19.47293478260869,-17915.099999999995,920
ES,breakout.range_expansion.q80,2.0,-31.972934782608693,-29415.1,920
ES,revert.vwap.q90,0.0,4.6178328173374625,4474.680000000001,969
ES,revert.vwap.q90,0.5,-1.6321671826625392,-1581.5700000000006,969
ES,revert.vwap.q90,1.0,-7.882167182662539,-7637.820000000001,969
ES,revert.vwap.q90,2.0,-20.382167182662542,-19750.320000000003,969
NQ,trend.ret_30.q80,0.0,-2.871753343239224,-7730.759999999991,2692
NQ,trend.ret_30.q80,0.5,-5.371753343239226,-14460.759999999998,2692
NQ,trend.ret_30.q80,1.0,-7.871753343239226,-21190.76,2692
NQ,trend.ret_30.q80,2.0,-12.871753343239227,-34650.76,2692
NQ,breakout.range_expansion.q80,0.0,14.163444730077122,16528.74,1167
NQ,breakout.range_expansion.q80,0.5,11.663444730077115,13611.239999999994,1167
NQ,breakout.range_expansion.q80,1.0,9.163444730077115,10693.739999999994,1167
NQ,breakout.range_expansion.q80,2.0,4.163444730077117,4858.739999999996,1167
NQ,revert.vwap.q90,0.0,16.497540563620834,19318.62,1171
NQ,revert.vwap.q90,0.5,13.997540563620833,16391.119999999995,1171
NQ,revert.vwap.q90,1.0,11.497540563620833,13463.619999999995,1171
NQ,revert.vwap.q90,2.0,6.4975405636208325,7608.619999999994,1171
MES,trend.ret_30.q80,0.0,-2.6186742424242424,-3456.65,1320
MES,trend.ret_30.q80,0.5,-3.243674242424242,-4281.65,1320
MES,trend.ret_30.q80,1.0,-3.868674242424242,-5106.65,1320
MES,trend.ret_30.q80,2.0,-5.118674242424242,-6756.65,1320
MES,breakout.range_expansion.q80,0.0,-1.8835802469135803,-1067.99,567
MES,breakout.range_expansion.q80,0.5,-2.50858024691358,-1422.365,567
MES,breakout.range_expansion.q80,1.0,-3.133580246913581,-1776.7400000000005,567
MES,breakout.range_expansion.q80,2.0,-4.38358024691358,-2485.49,567
MES,revert.vwap.q90,0.0,0.5040566037735851,267.1500000000001,530
MES,revert.vwap.q90,0.5,-0.12094339622641478,-64.09999999999984,530
MES,revert.vwap.q90,1.0,-0.7459433962264147,-395.3499999999998,530
MES,revert.vwap.q90,2.0,-1.9959433962264146,-1057.8499999999997,530
MNQ,trend.ret_30.q80,0.0,-1.9283825265643455,-3266.680000000001,1694
MNQ,trend.ret_30.q80,0.5,-2.178382526564345,-3690.1800000000003,1694
MNQ,trend.ret_30.q80,1.0,-2.428382526564345,-4113.68,1694
MNQ,trend.ret_30.q80,2.0,-2.928382526564346,-4960.680000000002,1694
MNQ,breakout.range_expansion.q80,0.0,2.8170370370370375,2053.6200000000003,729
MNQ,breakout.range_expansion.q80,0.5,2.567037037037037,1871.37,729
MNQ,breakout.range_expansion.q80,1.0,2.317037037037037,1689.1200000000001,729
MNQ,breakout.range_expansion.q80,2.0,1.8170370370370372,1324.6200000000001,729
MNQ,revert.vwap.q90,0.0,2.9225196850393695,1855.7999999999997,635
MNQ,revert.vwap.q90,0.5,2.6725196850393695,1697.0499999999997,635
MNQ,revert.vwap.q90,1.0,2.4225196850393695,1538.2999999999997,635
MNQ,revert.vwap.q90,2.0,1.9225196850393695,1220.7999999999997,635
