symbol,mechanism,arm,ctrl_pctile,n,trades,net,per_trade,per_session,t,win_rate,profit_factor,max_dd,max_consec_losses,mean_mae,mean_mfe
ES,trend.ret_30.q80,baseline,,210,4620,-85663.6,-18.541904761904764,-407.9219047619048,-4.386844464242015,0.3142857142857143,0.43613886014264297,-86780.44000000003,12,-1024.4844761904762,862.2651428571428
ES,trend.ret_30.q80,vol-gated,,107,2361,-30462.08000000001,-12.902193985599325,-284.6923364485982,-1.8107859062130147,0.37383177570093457,0.6144240615360468,-39652.100000000006,9,-1120.5418691588784,1145.2424299065422
ES,trend.ret_30.q80,vol+prev_rv_pct,0.975,98,2167,-29903.760000000002,-13.799612367328104,-305.1404081632653,-1.7876901997732575,0.3673469387755102,0.6104419690138385,-39093.780000000006,9,-1163.774693877551,1152.5957142857144
ES,breakout.range_expansion.q80,baseline,,210,1877,-30470.060000000005,-16.233383058071393,-145.09552380952383,-1.9509219688283346,0.3952380952380952,0.658442933291245,-33350.70000000003,7,-608.6920952380952,563.9380952380952
ES,breakout.range_expansion.q80,vol-gated,,107,989,-4875.919999999997,-4.930151668351868,-45.5693457943925,-0.34762447909726996,0.4766355140186916,0.9016351111121871,-15244.499999999996,4,-697.1013084112151,762.1652336448599
ES,breakout.range_expansion.q80,vol+prev_rv_pct,0.675,98,920,-6415.099999999999,-6.972934782608695,-65.46020408163265,-0.46321420410882097,0.45918367346938777,0.8653069211636799,-16553.299999999996,4,-729.2208163265306,764.7273469387757
ES,revert.vwap.q90,baseline,,210,1540,-2008.7000000000025,-1.304350649350651,-9.565238095238108,-0.10577112238621197,0.5285714285714286,0.9746865591892443,-13780.06,5,-919.8130476190476,552.3270476190476
ES,revert.vwap.q90,vol-gated,,107,1040,1268.8000000000025,1.2200000000000024,11.857943925233668,0.07341692481014081,0.5607476635514018,1.0222843965315866,-18110.46,5,-1301.8291588785046,830.7280373831777
ES,revert.vwap.q90,vol+prev_rv_pct,0.725,98,969,4474.680000000001,4.6178328173374625,45.66000000000001,0.26368642762004624,0.5714285714285714,1.0872350496700232,-15653.759999999998,5,-1285.8957142857143,870.359387755102
NQ,trend.ret_30.q80,baseline,,210,4611,-64629.57999999998,-14.016391238343088,-307.7599047619047,-1.545546178112447,0.3952380952380952,0.744675705223875,-85496.74000000002,7,-1886.6339047619047,1986.240714285714
NQ,trend.ret_30.q80,vol-gated,,132,2876,-6916.279999999993,-2.4048261474269794,-52.39606060606056,-0.18279723306927526,0.4393939393939394,0.9571234176881678,-52982.96000000001,6,-1989.7371212121216,2372.9660606060606
NQ,trend.ret_30.q80,vol+prev_rv_pct,0.825,123,2692,-7730.759999999991,-2.871753343239224,-62.8517073170731,-0.20791612977261398,0.43902439024390244,0.9494600074449268,-51911.659999999996,6,-2022.4176422764228,2391.5409756097565
NQ,breakout.range_expansion.q80,baseline,,210,1893,-10055.539999999999,-5.311959852086635,-47.88352380952381,-0.3265586484692103,0.45714285714285713,0.9320253702441103,-35115.67999999999,7,-1104.2147142857143,1196.593904761905
NQ,breakout.range_expansion.q80,vol-gated,,132,1265,14343.300000000003,11.338577075098817,108.66136363636366,0.5069514183400611,0.5,1.142980666363891,-26407.82,5,-1217.0273484848483,1476.0084090909093
NQ,breakout.range_expansion.q80,vol+prev_rv_pct,0.875,123,1167,16528.74,14.163444730077122,134.38000000000002,0.5964418023852807,0.4959349593495935,1.178590344754262,-24024.120000000003,4,-1221.1492682926832,1506.2545528455285
NQ,revert.vwap.q90,baseline,,210,1666,42547.51999999999,25.538727490996393,202.60723809523805,0.9731370691111422,0.5904761904761905,1.2506621282885197,-26863.48,6,-2043.3781428571428,1454.506
NQ,revert.vwap.q90,vol-gated,,132,1245,15848.899999999998,12.730040160642568,120.06742424242422,0.3734384266191652,0.6136363636363636,1.1054781640387803,-32868.53999999999,6,-2758.2854545454547,1860.3030303030305
NQ,revert.vwap.q90,vol+prev_rv_pct,0.55,123,1171,19318.62,16.497540563620834,157.0619512195122,0.4621379774388501,0.6178861788617886,1.138310648146226,-32293.419999999995,6,-2812.6093495934956,1899.3235772357723
MES,trend.ret_30.q80,baseline,,150,3283,-9382.759999999998,-2.8579835516296064,-62.551733333333324,-5.97608571537207,0.22666666666666666,0.2698559440211165,-9353.270000000002,16,-116.87703333333333,81.09066666666666
MES,trend.ret_30.q80,vol-gated,,66,1414,-3565.08,-2.521272984441301,-54.016363636363636,-2.774185867767264,0.2878787878787879,0.39493282462440854,-4142.750000000001,8,-132.04234848484845,108.96492424242426
MES,trend.ret_30.q80,vol+prev_rv_pct,0.875,62,1320,-3456.65,-2.6186742424242424,-55.752419354838715,-2.700672331642824,0.27419354838709675,0.3968546721013987,-4034.320000000001,8,-135.30629032258062,111.52064516129033
MES,breakout.range_expansion.q80,baseline,,150,1372,-3953.8399999999997,-2.881807580174927,-26.358933333333333,-2.93869808381059,0.35333333333333333,0.47948942085918006,-4061.879999999999,13,-70.45583333333333,53.96640000000001
MES,breakout.range_expansion.q80,vol-gated,,66,597,-952.0899999999997,-1.5947906197654935,-14.425606060606055,-0.792217575038765,0.4696969696969697,0.7371456495091272,-1686.83,7,-82.18492424242424,77.45143939393938
MES,breakout.range_expansion.q80,vol+prev_rv_pct,0.8,62,567,-1067.99,-1.8835802469135803,-17.225645161290323,-0.8962583928973827,0.45161290322580644,0.7015653991460443,-1802.73,7,-85.69620967741936,78.67016129032258
MES,revert.vwap.q90,baseline,,150,851,-508.2200000000001,-0.5972032902467687,-3.388133333333334,-0.35190962818998117,0.41333333333333333,0.9004887256322498,-1726.08,5,-78.66573333333334,43.439
