panel,symbol,quintile,n,mean,sd,iqr,dip
ETF,DIA,1,500,0.44504204927209023,0.26227685907631476,0.44078750584082205,0.6333333333333333
ETF,DIA,2,499,0.45393737168948045,0.2631065120058847,0.4232657601845391,0.5769230769230769
ETF,DIA,3,499,0.46433781845892885,0.26044179045342775,0.4297818778151908,0.5573770491803278
ETF,DIA,4,499,0.47503882820242843,0.26104917461754057,0.4333337826267218,0.5862068965517241
ETF,DIA,5,499,0.4696813404178366,0.2619419902319005,0.429911681615501,0.7407407407407407
ETF,IWM,1,516,0.46477104402390645,0.2572872244676374,0.4225277682216774,0.7017543859649122
ETF,IWM,2,516,0.4732364617206794,0.2607376610463364,0.4295735107059404,0.5161290322580645
ETF,IWM,3,516,0.470850815014322,0.26040348308928163,0.426276780773192,0.7777777777777778
ETF,IWM,4,516,0.4774073743951255,0.26579155683067657,0.44015859094836884,0.5901639344262295
ETF,IWM,5,516,0.47648042218063574,0.255785759190924,0.3977387133739012,0.6666666666666666
ETF,QQQ,1,516,0.44911545279320364,0.26479137864212776,0.4392153059282399,0.5517241379310345
ETF,QQQ,2,516,0.4732052485655087,0.2699334964426869,0.4474466486863209,0.6785714285714286
ETF,QQQ,3,515,0.4920379186941345,0.25592554583317817,0.41856073613407113,0.5714285714285714
ETF,QQQ,4,516,0.5044825951094857,0.26994932670252175,0.43653582861696477,0.3793103448275862
ETF,QQQ,5,516,0.48717038862507933,0.26174394970114395,0.4454048851243852,0.4666666666666667
ETF,SPY,1,517,0.4433238471306879,0.26227906491962816,0.42516129032258343,0.3492063492063492
ETF,SPY,2,516,0.4601017151776736,0.26800654331211554,0.4466580780669886,0.5079365079365079
ETF,SPY,3,516,0.47062632771961266,0.27277368957001413,0.4696100701207687,0.5573770491803278
ETF,SPY,4,516,0.4961484100521125,0.25974385332792443,0.4280248202230051,0.6101694915254238
ETF,SPY,5,517,0.4771536813397773,0.2549484300011667,0.41903099545118483,0.5714285714285714
FUTURES,ES,1,47,0.4303911506793838,0.2584163473308817,0.4010716276163782,
FUTURES,ES,2,46,0.44872757641504335,0.26618557452132235,0.5065668729881981,
FUTURES,ES,3,46,0.464037510445221,0.2572440998697621,0.41833014327626405,
FUTURES,ES,4,46,0.4570768499213979,0.21596222427884823,0.36499315381104525,
FUTURES,ES,5,47,0.44435282397673714,0.24487186100731437,0.4240442573565151,
FUTURES,MES,1,35,0.43041908378155813,0.25078918595483113,0.367532403253082,
FUTURES,MES,2,34,0.48262368226247054,0.2600130824082173,0.4383188546798895,
FUTURES,MES,3,34,0.5140591505162234,0.2455205466333293,0.36018337081371693,
FUTURES,MES,4,34,0.44128490362009787,0.23066861477772455,0.37729905909054556,
FUTURES,MES,5,34,0.42505595920112005,0.24615651734136595,0.4222480015793746,
FUTURES,MNQ,1,35,0.43465158944226895,0.2350870822493431,0.3603516772434963,
FUTURES,MNQ,2,34,0.521722491292183,0.2583839659469915,0.4061810757549811,
FUTURES,MNQ,3,34,0.4401586720056982,0.22048209382470452,0.2709029506283003,
FUTURES,MNQ,4,34,0.4731327353304451,0.25055851691457914,0.3927067824752588,
FUTURES,MNQ,5,34,0.4017707496408767,0.2338579767217343,0.4193109166057006,
FUTURES,NQ,1,47,0.4615166067569372,0.250758236316563,0.3897167675636406,
FUTURES,NQ,2,46,0.4510764401514173,0.24359021416658613,0.3368714573330847,
FUTURES,NQ,3,46,0.48958253207207525,0.2459284897248834,0.40573648279187935,
FUTURES,NQ,4,46,0.4766082804942751,0.20914061661526676,0.30068909635186536,
FUTURES,NQ,5,47,0.39810620089586657,0.2534786720426532,0.48582054800577923,
