arch,describe,is_trades,is_net,is_per_trade,is_per_day,is_median_trade,is_win_rate,is_avg_win,is_avg_loss,is_profit_factor,is_max_dd,is_daily_max_loss,is_consec_losing_trades,is_consec_losing_days,is_mean_mfe,is_mean_mae,is_mfe_mae,is_median_bars,is_trades_per_day,is_t_stat,is_pct_stop,is_pct_target,is_pct_time,is_pct_invalidation,is_pct_flatten,is_pct_reach_1R,is_ambiguous_share,is_avg_mae_of_winners,is_avg_mfe_of_losers,oos_trades,oos_net,oos_per_trade,oos_per_day,oos_median_trade,oos_win_rate,oos_avg_win,oos_avg_loss,oos_profit_factor,oos_max_dd,oos_daily_max_loss,oos_consec_losing_trades,oos_consec_losing_days,oos_mean_mfe,oos_mean_mae,oos_mfe_mae,oos_median_bars,oos_trades_per_day,oos_t_stat,oos_pct_stop,oos_pct_target,oos_pct_time,oos_pct_invalidation,oos_pct_flatten,oos_pct_reach_1R,oos_ambiguous_share,oos_avg_mae_of_winners,oos_avg_mfe_of_losers
F.baseline_invalidation,signal invalidation,239,446.9200000000003,1.8699581589958172,9.310833333333337,-0.72,0.4686192468619247,20.39160714285714,-14.464094488188977,1.2432959160342743,-187.54000000000013,-90.63999999999999,7,5,19.230125523012553,-18.10460251046025,1.0621677836838457,1.0,4.979166666666667,1.0718091705358694,0.0,0.0,0.0,0.9874476987447699,0.012552301255230125,0.12552301255230125,0.0,-12.464285714285714,8.299212598425196,104,52.12000000000012,0.5011538461538473,2.2660869565217423,3.5300000000000002,0.5288461538461539,14.916363636363634,-15.679183673469387,1.0678398500546675,-151.2,-66.72,5,2,18.182692307692307,-17.20673076923077,1.0567197541212627,1.0,4.521739130434782,0.3102157005719767,0.0,0.0,0.0,1.0,0.0,0.10576923076923077,0.0,-8.2,10.918367346938776
A.stop0.5atr_tgt0.5R,"stop 0.5 ATR, target 0.5R",238,-1261.3756649616837,-5.299897751939848,-26.27865968670174,2.8361061381085895,0.5294117647058824,7.5049294645389155,-19.705328370478462,0.42846510795807036,-1249.7427365729359,-117.44754475702268,5,10,19.962184873949578,-19.058823529411764,1.0473985890652557,1.0,4.958333333333333,-6.482692521973992,0.4579831932773109,0.5294117647058824,0.0,0.0,0.012605042016806723,0.13025210084033614,0.18487394957983194,-8.996031746031745,11.508928571428571,103,-223.29906649617996,-2.16795210190466,-9.708655065051303,5.615677749360912,0.6601941747572816,7.519605273055475,-20.98949214468436,0.6960396523896822,-209.4869181584939,-40.352506393853105,4,6,18.820388349514563,-18.02912621359223,1.0438879913839527,1.0,4.478260869565218,-2.641652986550532,0.33980582524271846,0.6601941747572816,0.0,0.0,0.0,0.10679611650485436,0.17475728155339806,-7.544117647058823,11.871428571428572
A.stop0.5atr_tgt0.75R,"stop 0.5 ATR, target 0.75R",232,-1134.2847250638868,-4.889158297689167,-23.630931772164313,-10.000051150893997,0.4698275862068966,11.96950614749324,-19.82895036699716,0.5349311555901453,-1127.2011892582498,-112.63367007673426,5,11,20.92887931034483,-20.663793103448278,1.012828535669587,1.0,4.833333333333333,-5.326336929787408,0.5172413793103449,0.4698275862068966,0.0,0.0,0.01293103448275862,0.13793103448275862,0.11206896551724138,-8.720183486238533,11.825203252032521,101,-57.83333120203194,-0.5726072396240787,-2.5144926609579112,8.916189258315425,0.6138613861386139,12.152625505321797,-20.802464423897018,0.9287148917532225,-132.5902365728779,-71.52822890025126,5,6,19.900990099009903,-18.68811881188119,1.0649006622516557,1.0,4.391304347826087,-0.4955758454693571,0.38613861386138615,0.6138613861386139,0.0,0.0,0.0,0.1188118811881188,0.10891089108910891,-7.411290322580645,11.58974358974359
A.stop0.5atr_tgt1R,"stop 0.5 ATR, target 1R",229,-829.7073657288809,-3.6231762695584315,-17.285570119351686,-11.688670076726995,0.44541484716157204,16.624428564264615,-19.88503212034544,0.6714549504135556,-843.1421483375842,-106.34813299233093,6,10,22.753275109170307,-21.1353711790393,1.0765495867768595,1.0,4.770833333333333,-3.327639979498118,0.5414847161572053,0.44541484716157204,0.0,0.0,0.013100436681222707,0.1615720524017467,0.07860262008733625,-8.799019607843137,12.011811023622048,98,-142.76396419435554,-1.4567751448403625,-6.20712887801546,10.37718670076836,0.5204081632653061,16.447005165238114,-20.884281438755313,0.8545541936896808,-186.39820971867005,-66.6875959079276,5,4,21.908163265306122,-22.831632653061224,0.9595530726256983,1.0,4.260869565217392,-1.107644381343456,0.47959183673469385,0.5204081632653061,0.0,0.0,0.0,0.15306122448979592,0.09183673469387756,-7.0588235294117645,12.627659574468085
A.stop0.5atr_tgt1.5R,"stop 0.5 ATR, target 1.5R",215,-900.0669437339791,-4.186357877832461,-18.75139466112456,-15.532659846546013,0.35348837209302325,24.854408567775256,-20.064762553128766,0.677279921138556,-906.6315856777175,-128.63516624041367,7,7,25.153488372093022,-22.688372093023254,1.1086510865108652,1.0,4.479166666666667,-3.596115675494848,0.6325581395348837,0.35348837209302325,0.0,0.0,0.013953488372093023,0.24651162790697675,0.03255813953488372,-8.157894736842104,14.089928057553957,90,-147.55319693097107,-1.6394799658996786,-6.41535638830309,-15.351074168799387,0.4222222222222222,24.849676268676532,-20.996940291166915,0.8648583345909939,-175.1579028133061,-58.02875959080149,5,7,24.133333333333333,-26.57777777777778,0.9080267558528428,2.0,3.9130434782608696,-1.0016630668889954,0.5777777777777777,0.4222222222222222,0.0,0.0,0.0,0.2111111111111111,0.022222222222222223,-6.078947368421052,15.48076923076923
A.stop0.5atr_tgt2R,"stop 0.5 ATR, target 2R",206,-591.2618158567495,-2.8702029895958714,-12.317954497015611,-15.85874680306617,0.32038834951456313,33.47619468340722,-20.00493332115447,0.7888871401423225,-671.5401278771932,-128.63516624041367,7,6,26.902912621359224,-23.50242718446602,1.14468656408138,1.0,4.291666666666667,-2.0150682856558797,0.6650485436893204,0.32038834951456313,0.0,0.0,0.014563106796116505,0.33980582524271846,0.019417475728155338,-8.386363636363637,15.028571428571428,85,-175.4218670076908,-2.063786670678715,-7.627037695986558,-15.901585677746626,0.3411764705882353,34.03055119499101,-20.755497351114826,0.849074522935737,-290.28434782610975,-92.10644501279633,8,6,26.2,-28.49411764705882,0.9194880264244426,2.0,3.6956521739130435,-0.9132856383189206,0.6588235294117647,0.3411764705882353,0.0,0.0,0.0,0.35294117647058826,0.011764705882352941,-5.931034482758621,17.357142857142858
A.stop0.75atr_tgt0.5R,"stop 0.75 ATR, target 0.5R",230,-930.774392583096,-4.046845185143895,-19.3911331788145,7.162752557547065,0.5956521739130435,12.242538736535929,-28.043034403102336,0.643108279293001,-917.6249999999636,-184.4862915601107,4,12,22.208695652173912,-22.569565217391304,0.9840107879021383,1.0,4.791666666666667,-2.91728553987951,0.391304347826087,0.5956521739130435,0.0,0.0,0.013043478260869565,0.1391304347826087,0.05652173913043478,-11.861313868613138,9.801075268817204,99,14.189309462962022,0.1433263582117376,0.6169264983896519,9.451355498721822,0.7272727272727273,12.054243393009784,-31.619119067916387,1.0166206395244881,-115.69653452683441,-57.08875959079421,3,4,20.792929292929294,-20.141414141414142,1.0323470411233702,1.0,4.304347826086956,0.0861609870298803,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,0.12121212121212122,0.06060606060606061,-9.67361111111111,11.777777777777779
A.stop0.75atr_tgt0.75R,"stop 0.75 ATR, target 0.75R",222,-355.21428069051376,-1.6000643274347466,-7.400297514385701,9.697958759593602,0.5585585585585585,19.31249847888008,-28.0608580823637,0.8708294840232194,-519.1269341432139,-162.93050511508685,5,5,25.376126126126128,-23.736486486486488,1.069076762501186,1.0,4.625,-0.828071023240923,0.42792792792792794,0.5585585585585585,0.0,0.0,0.013513513513513514,0.18018018018018017,0.04504504504504504,-12.42741935483871,10.622448979591837,95,-47.942199488503576,-0.5046547314579324,-2.084443456021896,14.2342838874695,0.6105263157894737,18.890448452243998,-30.907789451855557,0.9580773926479196,-154.46612851663085,-67.9209494884964,4,7,24.44736842105263,-25.88421052631579,0.9444896299308662,2.0,4.130434782608695,-0.20731447224437966,0.3894736842105263,0.6105263157894737,0.0,0.0,0.0,0.17894736842105263,0.042105263157894736,-10.077586206896552,13.22972972972973
A.stop0.75atr_tgt1R,"stop 0.75 ATR, target 1R",207,-770.8312404092276,-3.723822417435882,-16.05898417519224,-15.141355498721824,0.463768115942029,25.3006002237854,-28.82602578281644,0.7590918137105125,-804.6942327365937,-150.9221994884964,6,13,27.963768115942027,-26.44927536231884,1.0572602739726027,2.0,4.3125,-2.0042100123293793,0.5217391304347826,0.463768115942029,0.0,0.0,0.014492753623188406,0.26570048309178745,0.01932367149758454,-11.588541666666666,13.972972972972974,86,-83.8736445012708,-0.9752749360612885,-3.646680195707426,16.425780051148905,0.5348837209302325,25.301287390192254,-31.193321611252866,0.9327791654039387,-228.53580562659042,-69.93983375958632,4,4,27.790697674418606,-29.1453488372093,0.9535208458009177,2.0,3.739130434782609,-0.32739332263865895,0.46511627906976744,0.5348837209302325,0.0,0.0,0.0,0.29069767441860467,0.03488372093023256,-10.445652173913043,16.025
A.stop0.75atr_tgt1.5R,"stop 0.75 ATR, target 1.5R",186,-632.1075000000872,-3.3984274193553072,-13.168906250001816,-20.162135549870726,0.3763440860215054,38.57088646328031,-28.72473752094575,0.8102958266464876,-682.370249360686,-150.9221994884964,6,5,31.766129032258064,-28.448924731182796,1.1166020977038646,2.0,3.875,-1.6249922880242536,0.6075268817204301,0.3763440860215054,0.0,0.0,0.016129032258064516,0.41935483870967744,0.010752688172043012,-11.014285714285714,16.56896551724138,75,-104.18622122757361,-1.3891496163676482,-4.529835705546679,-22.16661125319544,0.4266666666666667,38.562903412724864,-31.120910010110915,0.9221444560394203,-334.3251918158479,-88.66644501278176,6,7,34.12,-32.68,1.04406364749082,2.0,3.260869565217391,-0.4256685663889154,0.5733333333333334,0.4266666666666667,0.0,0.0,0.0,0.4533333333333333,0.013333333333333334,-10.4375,20.511627906976745
