panel,symbol,bucket,n,mean_1,t_1
etf,SPY,10:15-11:00,232,0.38155172413794225,0.2726343819073457
etf,SPY,11:00-12:30,953,-0.049895068205566065,-0.09669243995201991
etf,SPY,12:30-14:00,1123,0.8511398040961003,1.4763310648346513
etf,SPY,14:00-16:00,2087,0.5020875912408348,1.1602658336278915
etf,QQQ,10:15-11:00,212,-0.9015566037735634,-0.5472237856761003
etf,QQQ,11:00-12:30,968,-0.3717975206611912,-0.7584952816781318
etf,QQQ,12:30-14:00,1033,-0.8845788964182265,-1.4919747977240223
etf,QQQ,14:00-16:00,1911,-0.674663487016427,-1.3813888456683787
etf,IWM,10:15-11:00,208,-1.3033173076921345,-1.3028541135073513
etf,IWM,11:00-12:30,919,-0.20030467899897542,-0.5408303818309178
etf,IWM,12:30-14:00,977,0.0041965199591045615,0.013399265598087632
etf,IWM,14:00-16:00,1615,0.15157663316582737,0.5272750163684594
etf,DIA,10:15-11:00,199,0.9978391959800894,0.7326145190406471
etf,DIA,11:00-12:30,855,0.34403508771928387,0.7417164840998897
etf,DIA,12:30-14:00,1003,0.2298005982054607,0.5061519648210336
etf,DIA,14:00-16:00,1855,0.157134213421365,0.4410338991717188
futures,MNQ,11:00-12:30,95,6.026315789473684,2.1519331675826474
futures,MNQ,12:30-14:00,103,2.7718446601941746,1.1253661839688487
futures,MNQ,14:00-16:00,124,0.8677685950413223,0.5553627709160717
futures,NQ,11:00-12:30,106,32.405660377358494,1.3505538280423899
futures,NQ,12:30-14:00,141,7.553191489361702,0.40777797406881106
futures,NQ,14:00-16:00,195,3.770053475935829,0.30164508679016866
futures,MES,11:00-12:30,101,1.9925742574257426,1.6965688096073974
futures,MES,12:30-14:00,110,-1.6363636363636365,-1.6089323282341368
futures,MES,14:00-16:00,214,0.13033175355450238,0.17933639999082002
futures,ES,11:00-12:30,67,4.291044776119403,0.3747233982540719
futures,ES,12:30-14:00,97,-3.350515463917526,-0.29417407194746564
futures,ES,14:00-16:00,186,6.793478260869565,0.7983687015884718
