panel,symbol,regime,n,mean_1,t_1,mean_5
etf,SPY,LOW,1344,-0.03590840840839914,-0.11059268529659314,0.25136636636637
etf,SPY,MID,1432,0.6395144264601537,1.476263512359341,-0.48577762139354214
etf,SPY,HIGH,1619,0.7252608695652446,1.173111351452824,-0.18662732919264094
etf,QQQ,LOW,1239,-0.17212540716613026,-0.5380653656960167,-0.27159609120524997
etf,QQQ,MID,1296,-1.3357264957265826,-2.3699926630746786,-1.8996969696969237
etf,QQQ,HIGH,1589,-0.509425867507845,-0.8559635089019968,-2.285059936908475
etf,IWM,LOW,1162,-0.16647875108412954,-0.8359018771370522,-0.5995836947094638
etf,IWM,MID,1146,0.4655136084284634,1.338271620039517,0.561624231782299
etf,IWM,HIGH,1411,-0.39033475783475674,-1.0911571861235967,0.1405982905983404
etf,DIA,LOW,1123,0.5034056007227045,1.9288204689214148,1.4537127371274332
etf,DIA,MID,1184,-0.05794067796599466,-0.1561240094090612,1.0260762711865101
etf,DIA,HIGH,1605,0.3274433249370176,0.6816118631281108,-0.24248740554152873
futures,MNQ,LOW,101,2.875,1.4057213016038808,3.24
futures,MNQ,MID,143,4.401408450704225,2.376404656917186,10.190140845070422
futures,MNQ,HIGH,99,1.8010204081632653,0.6139447459707962,3.576530612244898
futures,NQ,LOW,144,17.26950354609929,1.0556310238032163,43.61702127659574
futures,NQ,MID,203,1.225,0.08437531604533127,58.225
futures,NQ,HIGH,123,32.93388429752066,1.497692479705691,100.37190082644628
futures,MES,LOW,157,-0.24681528662420382,-0.35561118464568603,-0.804140127388535
futures,MES,MID,151,0.2195945945945946,0.2535107453324042,3.3361486486486487
futures,MES,HIGH,141,0.2393617021276596,0.20738548843225793,0.2925531914893617
futures,ES,LOW,157,7.722929936305732,0.977467299766586,14.410828025477707
futures,ES,MID,134,1.893939393939394,0.228290355281272,19.03409090909091
futures,ES,HIGH,73,-0.17123287671232876,-0.008250036029532896,-40.41095890410959
