session,instrument,event_id,false_breakout,direction,minute_of_day,minutes_since_ib,ib_range,excursion_points,distance_to_mid,distance_to_mid_over_range,stop_distance,midpoint_touch,buckets_to_resolution
2025-06-09,ES,2025-06-09-13,1,-1,635,5,15.25,4.25,6.375,0.418033,5.75,1,2
2025-06-09,ES,2025-06-09-c32,0,-1,730,100,15.25,0.0,5.625,0.368852,5.75,0,7
2025-06-09,ES,2025-06-09-c17,0,-1,655,25,15.25,0.0,2.375,0.155738,5.75,1,4
2025-06-10,ES,2025-06-10-12,1,-1,630,0,11.0,0.25,3.75,0.340909,2.25,0,2
2025-06-10,ES,2025-06-10-17,1,-1,655,25,11.0,4.0,3.75,0.340909,6.0,1,7
2025-06-10,ES,2025-06-10-19,1,-1,665,35,11.0,2.5,3.5,0.318182,4.75,1,5
2025-06-10,ES,2025-06-10-22,1,-1,680,50,11.0,1.5,4.25,0.386364,3.0,0,1
2025-06-10,ES,2025-06-10-23,1,-1,685,55,11.0,2.0,4.75,0.431818,3.0,1,1
2025-06-10,ES,2025-06-10-25,1,1,695,65,11.0,10.75,2.75,0.25,13.75,1,1
2025-06-10,ES,2025-06-10-c27,0,-1,705,75,11.0,0.0,1.5,0.136364,3.875,0,2
2025-06-10,ES,2025-06-10-c29,0,-1,715,85,11.0,0.0,5.5,0.5,3.875,0,1
2025-06-10,ES,2025-06-10-c20,0,-1,670,40,11.0,0.0,5.5,0.5,3.875,1,4
2025-06-10,ES,2025-06-10-c20,0,-1,670,40,11.0,0.0,5.5,0.5,3.875,1,4
2025-06-10,ES,2025-06-10-c25,0,1,695,65,11.0,0.0,2.75,0.25,3.875,1,1
2025-06-10,ES,2025-06-10-c19,0,-1,665,35,11.0,0.0,3.5,0.318182,3.875,0,4
2025-06-10,ES,2025-06-10-c12,0,-1,630,0,11.0,0.0,3.75,0.340909,3.875,0,2
2025-06-10,ES,2025-06-10-c17,0,-1,655,25,11.0,0.0,3.75,0.340909,3.875,0,2
2025-06-10,ES,2025-06-10-c21,0,-1,675,45,11.0,0.0,5.5,0.5,3.875,1,3
2025-06-10,ES,2025-06-10-c25,0,1,695,65,11.0,0.0,2.75,0.25,3.875,1,1
2025-06-10,ES,2025-06-10-c21,0,-1,675,45,11.0,0.0,5.5,0.5,3.875,1,3
2025-06-10,ES,2025-06-10-c29,0,-1,715,85,11.0,0.0,5.5,0.5,3.875,0,1
2025-06-11,ES,2025-06-11-15,1,-1,645,15,27.0,0.75,11.25,0.416667,3.25,0,2
2025-06-11,ES,2025-06-11-17,1,-1,655,25,27.0,2.0,12.0,0.444444,3.75,1,3
2025-06-11,ES,2025-06-11-19,1,-1,665,35,27.0,0.75,2.25,0.083333,12.25,1,1
2025-06-11,ES,2025-06-11-34,1,1,740,110,27.0,2.25,10.75,0.398148,5.25,1,2
2025-06-11,ES,2025-06-11-c47,0,-1,805,175,27.0,0.0,8.0,0.296296,4.5,1,3
2025-06-11,ES,2025-06-11-c46,0,-1,800,170,27.0,0.0,6.75,0.25,4.5,1,4
2025-06-11,ES,2025-06-11-c26,0,-1,700,70,27.0,0.0,2.5,0.092593,4.5,1,1
2025-06-11,ES,2025-06-11-c26,0,-1,700,70,27.0,0.0,2.5,0.092593,4.5,1,1
2025-06-11,ES,2025-06-11-c43,0,-1,785,155,27.0,0.0,7.0,0.259259,4.5,1,7
2025-06-11,ES,2025-06-11-c38,0,1,760,130,27.0,0.0,5.0,0.185185,4.5,1,1
2025-06-11,ES,2025-06-11-c13,0,-1,635,5,27.0,0.0,11.5,0.425926,4.5,1,7
2025-06-11,ES,2025-06-11-c36,0,1,750,120,27.0,0.0,3.0,0.111111,4.5,0,1
2025-06-12,ES,2025-06-12-12,1,-1,630,0,31.75,0.75,15.375,0.484252,1.5,0,1
2025-06-12,ES,2025-06-12-21,1,-1,675,45,31.75,10.0,15.625,0.492126,10.5,0,12
2025-06-12,ES,2025-06-12-22,1,-1,680,50,31.75,0.75,8.875,0.279528,8.0,0,8
2025-06-12,ES,2025-06-12-30,1,-1,720,90,31.75,1.5,10.375,0.326772,7.25,0,2
2025-06-12,ES,2025-06-12-31,1,-1,725,95,31.75,0.75,15.375,0.484252,1.5,0,1
2025-06-12,ES,2025-06-12-34,1,-1,740,110,31.75,5.25,11.875,0.374016,9.5,0,3
2025-06-12,ES,2025-06-12-40,1,-1,770,140,31.75,7.75,14.375,0.452756,9.5,0,8
2025-06-12,ES,2025-06-12-c17,0,-1,655,25,31.75,0.0,15.875,0.5,8.0,0,1
2025-06-12,ES,2025-06-12-c23,0,-1,685,55,31.75,0.0,13.375,0.42126,8.0,0,12
2025-06-12,ES,2025-06-12-c22,0,-1,680,50,31.75,0.0,8.875,0.279528,8.0,0,8
2025-06-12,ES,2025-06-12-c28,0,-1,710,80,31.75,0.0,11.625,0.366142,8.0,0,4
2025-06-12,ES,2025-06-12-c12,0,-1,630,0,31.75,0.0,15.375,0.484252,8.0,0,6
2025-06-12,ES,2025-06-12-c41,0,-1,775,145,31.75,0.0,13.375,0.42126,8.0,0,1
2025-06-12,ES,2025-06-12-c12,0,-1,630,0,31.75,0.0,15.375,0.484252,8.0,0,6
2025-06-12,ES,2025-06-12-c41,0,-1,775,145,31.75,0.0,13.375,0.42126,8.0,0,1
2025-06-12,ES,2025-06-12-c24,0,-1,690,60,31.75,0.0,11.625,0.366142,8.0,0,8
2025-06-12,ES,2025-06-12-c30,0,-1,720,90,31.75,0.0,10.375,0.326772,8.0,0,2
2025-06-12,ES,2025-06-12-c27,0,-1,705,75,31.75,0.0,8.875,0.279528,8.0,0,3
2025-06-12,ES,2025-06-12-c26,0,-1,700,70,31.75,0.0,12.875,0.405512,8.0,0,6
2025-06-12,ES,2025-06-12-c25,0,-1,695,65,31.75,0.0,10.375,0.326772,8.0,0,7
2025-06-12,ES,2025-06-12-c34,0,-1,740,110,31.75,0.0,11.875,0.374016,8.0,0,1
2025-06-17,ES,2025-06-17-21,1,-1,675,45,19.25,1.5,5.125,0.266234,6.25,1,2
2025-06-17,ES,2025-06-17-41,1,1,775,145,19.25,3.0,9.125,0.474026,3.75,0,5
2025-06-17,ES,2025-06-17-42,1,1,780,150,19.25,3.0,7.125,0.37013,5.75,0,4
2025-06-17,ES,2025-06-17-43,1,1,785,155,19.25,2.75,7.125,0.37013,5.5,0,3
2025-06-17,ES,2025-06-17-c41,0,1,775,145,19.25,0.0,9.125,0.474026,5.625,0,6
2025-06-17,ES,2025-06-17-c24,0,1,690,60,19.25,0.0,2.375,0.123377,5.625,1,1
2025-06-17,ES,2025-06-17-c14,0,1,640,10,19.25,0.0,1.125,0.058442,5.625,1,1
2025-06-17,ES,2025-06-17-c36,0,-1,750,120,19.25,0.0,7.875,0.409091,5.625,1,2
2025-06-17,ES,2025-06-17-c44,0,1,790,160,19.25,0.0,7.625,0.396104,5.625,0,2
2025-06-17,ES,2025-06-17-c27,0,-1,705,75,19.25,0.0,1.375,0.071429,5.625,1,2
2025-06-17,ES,2025-06-17-c25,0,1,695,65,19.25,0.0,1.125,0.058442,5.625,1,1
2025-06-17,ES,2025-06-17-c32,0,-1,730,100,19.25,0.0,7.125,0.37013,5.625,1,6
2025-06-24,ES,2025-06-24-18,1,-1,660,30,21.25,1.5,9.625,0.452941,2.75,0,1
2025-06-24,ES,2025-06-24-19,1,-1,665,35,21.25,1.75,7.625,0.358824,5.0,0,3
2025-06-24,ES,2025-06-24-21,1,-1,675,45,21.25,1.5,9.875,0.464706,2.5,0,1
2025-06-24,ES,2025-06-24-c20,0,-1,670,40,21.25,0.0,10.625,0.5,2.75,0,2
2025-06-24,ES,2025-06-24-c16,0,-1,650,20,21.25,0.0,8.875,0.417647,2.75,0,2
2025-06-24,ES,2025-06-24-c13,0,-1,635,5,21.25,0.0,4.625,0.217647,2.75,0,1
2025-06-24,ES,2025-06-24-c21,0,-1,675,45,21.25,0.0,9.875,0.464706,2.75,0,1
2025-06-24,ES,2025-06-24-c19,0,-1,665,35,21.25,0.0,7.625,0.358824,2.75,0,1
2025-06-24,ES,2025-06-24-c12,0,-1,630,0,21.25,0.0,6.125,0.288235,2.75,0,2
