strategy,symbol,n_sessions,n_trades,gross_pnl,costs,net_pnl,expectancy_per_trade,expectancy_per_session,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor,max_drawdown,max_dd_duration,sharpe,sortino,t_stat,consec_losing_days,time_in_market,exposure,return_vol,trades_per_session,median_holding_minutes,mean_mae,mean_mfe,exit_reason_mix,regime,contracts
trend.ret_15.q80,ES,310,6981,-22900.0,113650.68000000001,-136550.67999999993,-19.56033233061165,-440.4860645161288,0.22231771952442345,260.70131443298965,-99.6793368944557,2.615399766443372,0.7476700013851747,-136151.2400000001,309,-5.489859763565682,-8.881095538734394,-6.088941859920953,20,0.3326210708687402,0.3326210708687402,1273.7118610209684,22.519354838709678,3.0,-67.46705343074058,142.4921214725684,forced_flatten:164|signal_flat:6806|signal_flip:11,normal,1
trend.ret_15.q90,ES,310,5069,-12875.0,82523.32,-95398.31999999995,-18.819948707831912,-307.7365161290321,0.2294338133754192,222.1765778159931,-90.57595494111622,2.452931111357655,0.7303530165153489,-96099.43999999981,307,-5.155506502433777,-8.364282585119668,-5.718102229149614,20,0.1702004785083739,0.1702004785083739,947.5627164389882,16.351612903225806,2.0,-59.58275794042218,120.76346419412113,forced_flatten:110|signal_flat:4953|signal_flip:6,normal,1
trend.ret_30.q80,ES,310,6971,-24437.5,113487.88,-137925.37999999995,-19.785594606225782,-444.9205806451611,0.21675512838904032,267.89438782263403,-99.39813186813186,2.6951652187793678,0.7458598251970009,-137496.00000000006,309,-5.579229271187647,-9.038081314340488,-6.188063833777436,15,0.33784341225971454,0.33784341225971454,1265.9266923916625,22.48709677419355,3.0,-67.56921532061398,144.4520154927557,forced_flatten:166|signal_flat:6794|signal_flip:11,normal,1
trend.ret_30.q90,ES,310,5067,-12962.5,82490.76000000001,-95453.25999999995,-18.838219853956968,-307.9137419354837,0.22834024077363332,223.7048746758859,-90.60864450127877,2.468913158420869,0.7305709780800372,-96236.93999999984,307,-5.137042129348198,-8.370241545693244,-5.697622927484363,20,0.170390231829057,0.170390231829057,951.5162608066562,16.34516129032258,2.0,-59.663015591079535,120.95914742451154,forced_flatten:110|signal_flat:4951|signal_flip:6,normal,1
trend.ret_60.q80,ES,310,6768,-34775.0,110183.04000000001,-144958.03999999998,-21.418150118203297,-467.6065806451612,0.21778959810874704,261.86620081411127,-100.29256139025311,2.6110231624771387,0.7269830263489426,-144411.78000000023,308,-5.8399739807260085,-9.193718328238853,-6.47726236434789,20,0.3242306740367957,0.3242306740367957,1271.0714752025976,21.83225806451613,3.0,-68.71490839243499,142.26507092198582,forced_flatten:162|signal_flat:6597|signal_flip:9,normal,1
trend.ret_60.q90,ES,310,4997,-16875.0,81351.16,-98226.15999999995,-19.657026215729427,-316.8585806451611,0.2283370022013208,221.26382120946536,-90.94610477178422,2.4329114673431493,0.7199045602278356,-98968.55999999978,307,-5.329449450901069,-8.598307375119504,-5.911026738294571,15,0.1663889118059566,0.1663889118059566,943.8074377708127,16.11935483870968,2.0,-60.013508104862915,119.5967580548329,forced_flatten:109|signal_flat:4883|signal_flip:5,normal,1
trend.ma_agree.30_120,ES,310,6654,-57162.5,108327.12000000001,-165489.62,-24.870697324917334,-533.8374838709677,0.19612263300270513,336.03800766283524,-112.92189568143577,2.975844548437558,0.7260192813069756,-166729.40000000023,307,-5.5061301684393085,-7.812873930460394,-6.106987776133674,13,0.5119627093474136,0.5119627093474136,1539.0859056796053,21.46451612903226,4.0,-81.7797565374211,171.84963931469792,forced_flatten:242|signal_flat:5561|signal_flip:851,normal,1
trend.multi_horizon_agree,ES,310,8573,-50675.0,139568.44,-190243.43999999997,-22.190999650064146,-613.6885161290322,0.26898401959640733,227.4049522983521,-114.03211424924204,1.9942185041076148,0.7337909478972651,-189846.87999999995,308,-6.149661627813321,-9.149286820575043,-6.820744740776687,13,0.4804224073921294,0.4804224073921294,1584.1527170765742,27.65483870967742,3.0,-80.54648314475679,142.27516621952643,forced_flatten:206|signal_flat:8236|signal_flip:131,normal,1
trend.accel_confirm,ES,310,10808,-82950.0,175954.24000000002,-258904.24000000005,-23.954870466321232,-835.1749677419357,0.3231865284974093,177.17118809046664,-119.99496924128502,1.4764884662307143,0.7050409039704558,-257594.31999999986,309,-8.793394935336929,-11.460134830396022,-9.752975999119862,15,0.42802574045045794,0.42802574045045794,1507.7216129519068,34.86451612903226,2.0,-81.06032568467802,111.35964100666173,forced_flatten:196|signal_flat:9872|signal_flip:740,normal,1
breakout.opening_range.q90,ES,310,976,-22412.5,15889.28,-38301.78,-39.243627049180326,-123.55412903225806,0.09528688524590163,917.3221505376343,-139.99177802944507,6.552685903772792,0.690146986467576,-38301.779999999984,309,-1.9326991353912313,-2.9733205599045602,-2.143605333275998,6,0.199686494513654,0.199686494513654,1014.8299636146983,3.1483870967741936,4.0,-114.22899590163935,267.8919057377049,forced_flatten:102|signal_flat:874,normal,1
