strategy,symbol,family,newly_added,trades,net_pnl,expectancy_trade,expectancy_session,stressed_expectancy_trade,profit_factor,win_rate,max_dd,dd_over_mll,sharpe,sortino,t_stat,consec_losing_days,median_hold_min,trades_per_session,time_in_market,mc_prob_dd_exceeds_mll,best_twin_pass,dll_breach_rate,verdict
trend.ret_15.q80,ES,trend,False,6981,-136550.6799999999,-19.56033233061165,-440.4860645161288,-32.060332330611644,0.7476700013851747,0.2223177195244234,-136151.2400000001,68.07562000000006,-5.489859763565682,-8.881095538734394,-6.088941859920953,20,3.0,22.51935483870968,0.3326210708687402,,,,REJECT
trend.ret_15.q90,ES,trend,False,5069,-95398.31999999996,-18.819948707831912,-307.7365161290321,-31.31994870783191,0.7303530165153489,0.2294338133754192,-96099.4399999998,48.0497199999999,-5.155506502433777,-8.364282585119668,-5.718102229149614,20,2.0,16.351612903225806,0.1702004785083739,,,,REJECT
trend.ret_30.q80,ES,trend,False,6971,-137925.37999999995,-19.785594606225786,-444.9205806451611,-32.28559460622578,0.7458598251970009,0.2167551283890403,-137496.00000000006,68.74800000000003,-5.579229271187647,-9.038081314340488,-6.188063833777436,15,3.0,22.48709677419355,0.3378434122597145,,,,REJECT
trend.ret_30.q90,ES,trend,False,5067,-95453.25999999997,-18.838219853956968,-307.9137419354837,-31.338219853956968,0.7305709780800372,0.2283402407736333,-96236.93999999984,48.118469999999924,-5.137042129348198,-8.370241545693244,-5.697622927484363,20,2.0,16.34516129032258,0.170390231829057,,,,REJECT
trend.ret_60.q80,ES,trend,False,6768,-144958.03999999998,-21.418150118203297,-467.6065806451612,-33.9181501182033,0.7269830263489426,0.217789598108747,-144411.78000000023,72.20589000000011,-5.8399739807260085,-9.193718328238852,-6.47726236434789,20,3.0,21.83225806451613,0.3242306740367957,,,,REJECT
trend.ret_60.q90,ES,trend,False,4997,-98226.15999999996,-19.657026215729427,-316.8585806451611,-32.157026215729424,0.7199045602278356,0.2283370022013208,-98968.55999999978,49.48427999999989,-5.329449450901069,-8.598307375119504,-5.911026738294571,15,2.0,16.11935483870968,0.1663889118059566,,,,REJECT
trend.ma_agree.30_120,ES,trend,False,6654,-165489.62,-24.870697324917334,-533.8374838709677,-37.37069732491733,0.7260192813069756,0.1961226330027051,-166729.40000000023,83.36470000000011,-5.5061301684393085,-7.812873930460394,-6.106987776133674,13,4.0,21.46451612903226,0.5119627093474136,,,,REJECT
trend.multi_horizon_agree,ES,trend,False,8573,-190243.44,-22.190999650064143,-613.6885161290322,-34.69099965006415,0.7337909478972651,0.2689840195964073,-189846.87999999995,94.92343999999997,-6.149661627813321,-9.149286820575044,-6.820744740776687,13,3.0,27.65483870967742,0.4804224073921294,,,,REJECT
trend.accel_confirm,ES,trend,False,10808,-258904.24000000005,-23.954870466321232,-835.1749677419357,-36.45487046632123,0.7050409039704558,0.3231865284974093,-257594.31999999983,128.7971599999999,-8.793394935336929,-11.460134830396022,-9.752975999119862,15,2.0,34.86451612903226,0.4280257404504579,,,,REJECT
breakout.opening_range.q90,ES,breakout,False,976,-38301.78,-39.243627049180326,-123.55412903225806,-51.74362704918031,0.690146986467576,0.0952868852459016,-38301.779999999984,19.150889999999993,-1.9326991353912315,-2.97332055990456,-2.143605333275998,6,4.0,3.1483870967741936,0.199686494513654,,,,REJECT
breakout.opening_range.q95,ES,breakout,False,414,-18777.42,-45.356086956521736,-60.57232258064516,-57.856086956521736,0.6773223353524941,0.0942028985507246,-18777.42,9.38871,-1.2694823355591016,-1.6424032781329287,-1.4080148612749808,4,4.0,1.335483870967742,0.0828974507053873,,,,REJECT
breakout.range_expansion.q80,ES,breakout,False,2859,-54519.52,-19.069436866037066,-175.8694193548387,-31.569436866037066,0.7928511591318337,0.3578174186778594,-55197.35999999999,27.598679999999998,-2.809979661417104,-4.107520899516441,-3.116619280419695,7,3.0,9.22258064516129,0.1315815526771718,,,,REJECT
breakout.range_expansion.q90,ES,breakout,False,1418,-28797.54,-20.30856135401973,-92.89529032258064,-32.80856135401973,0.802450129488538,0.3589562764456981,-29375.860000000022,14.68793000000001,-1.9766352365377555,-2.5599473344768904,-2.192335970660992,13,3.0,4.574193548387097,0.0649203861067568,,,,REJECT
breakout.failed_reversal,ES,breakout,False,364,-4475.919999999998,-12.296483516483509,-14.43845161290322,-24.796483516483512,0.72879753853313,0.4065934065934066,-4795.639999999998,2.397819999999999,-2.202153036148468,-1.8942818664618584,-2.4424634473809177,4,1.0,1.1741935483870969,0.0030030525534196,,,,REJECT
