strategy,symbol,contracts,net_1ct,dll_breach_rate,mc_median_final,mc_p05_final,mc_p95_final,mc_prob_final_positive,mc_median_maxdd,mc_worst5_maxdd,mc_worst1_maxdd,mc_prob_dd_exceeds_mll,mc_median_losing_streak,mc_p95_losing_streak,pass_rate,breach_rate,median_days_to_pass,p25_days,p75_days,median_min_buffer,expected_max_dd,worst_5pct_dd,worst_1pct_dd
revert.vwap.q90,NQ,1,52378.95999999999,0.4161290322580645,52378.959999999985,52378.95999999995,52378.960000000036,1.0,-37079.02999999998,-57470.13599999999,-68261.7816,1.0,4.0,6.0,0.2875,0.9975,8.0,6.0,10.0,2000.0,-24038.4083,-47196.17800000002,-56496.7664
revert.vwap.q90,NQ,2,52378.95999999999,0.5032258064516129,104757.91999999997,104757.9199999999,104757.92000000007,1.0,-74158.05999999995,-114940.27199999998,-136523.5632,1.0,4.0,6.0,0.19,0.9875,6.0,4.0,9.0,2000.0,-47406.485,-90818.07599999999,-109708.66919999997
revert.vwap.q90,NQ,5,52378.95999999999,0.5870967741935483,261894.79999999987,261894.79999999967,261894.80000000008,1.0,-185395.15000000002,-287350.68,-341308.90800000005,1.0,4.0,6.0,0.1175,0.9975,7.0,5.0,10.0,2000.0,-124839.73875000002,-243054.1050000001,-299116.62500000006
revert.vwap.q95,NQ,1,27675.12000000001,0.26129032258064516,27675.12000000001,27675.119999999988,27675.120000000064,1.0,-33696.43,-51719.441,-60701.66899999997,1.0,3.0,4.0,0.27,0.9825,9.0,5.0,15.25,2000.0,-20893.4371,-37285.225,-48070.66739999999
revert.vwap.q95,NQ,2,27675.12000000001,0.34516129032258064,55350.24000000002,55350.239999999976,55350.24000000013,1.0,-67392.86,-103438.882,-121403.33799999995,1.0,3.0,4.0,0.23,0.9875,8.0,5.0,12.0,2000.0,-42154.654299999995,-79815.822,-103023.5628
revert.vwap.q95,NQ,5,27675.12000000001,0.4258064516129032,138375.60000000003,138375.59999999995,138375.60000000018,1.0,-168482.15000000002,-258597.20500000005,-303508.34500000003,1.0,3.0,4.0,0.2175,0.9825,8.0,5.0,13.0,2000.0,-108119.90274999998,-201668.31499999994,-238781.42399999997
session.midday_reversion,NQ,1,13404.380000000028,0.2161290322580645,13404.380000000025,13404.38,13404.380000000036,1.0,-14661.639999999994,-22573.044,-26841.328200000004,1.0,6.0,9.0,0.25,0.995,8.0,6.0,13.0,1054.2799999999988,-10061.341999999997,-18992.707,-22840.96639999999
session.midday_reversion,NQ,2,13404.380000000028,0.4161290322580645,26808.76000000005,26808.76,26808.76000000007,1.0,-29323.279999999988,-45146.088,-53682.65640000001,1.0,6.0,9.0,0.2075,0.995,5.0,3.0,6.0,2000.0,-20851.757399999995,-34393.257999999994,-48490.52360000002
session.midday_reversion,NQ,5,13404.380000000028,0.603225806451613,67021.90000000011,67021.90000000001,67021.90000000015,1.0,-73308.19999999997,-112865.22000000003,-134206.64100000012,1.0,6.0,9.0,0.1925,0.9975,4.0,3.0,5.0,2000.0,-49295.78474999998,-84679.23999999999,-106991.28299999997
added.bollinger_revert.2sd,NQ,1,13301.019999999986,0.3161290322580645,13301.019999999991,13301.019999999977,13301.020000000011,1.0,-21235.769999999993,-33143.473000000005,-39870.564600000005,1.0,6.0,9.0,0.235,1.0,7.0,4.0,11.0,1050.1300000000017,-13680.8508,-25233.694000000003,-34155.233799999995
