panel,symbol,window,n,r2_overnight,r2_opening,r2_both,gain_over_best_single,rest_range_pct
"ETF PANEL  (SPY, QQQ, 2016-2026)",QQQ,5,2539,-0.0013420051110775155,0.002245580578565609,-0.0008930609908488485,-0.0031386415694144576,1.1953478354512164
"ETF PANEL  (SPY, QQQ, 2016-2026)",QQQ,15,2539,-0.001874184553569247,-0.0009621934950279076,-0.00725182376527389,-0.006289630270245983,1.1472995650536055
"ETF PANEL  (SPY, QQQ, 2016-2026)",QQQ,30,2539,-0.0016387218310918161,-0.004189212167177159,-0.0007055128068185201,0.000933209024273296,1.0778832899372024
"ETF PANEL  (SPY, QQQ, 2016-2026)",QQQ,60,2539,-0.0017232747416571215,-0.0009708165079500564,-0.007079940635905002,-0.006109124127954946,0.9630386829504449
"ETF PANEL  (SPY, QQQ, 2016-2026)",SPY,5,2542,-0.002375471434095777,-0.0033938815665324196,-0.01776061528008177,-0.015385143845985993,0.8571677741103227
"ETF PANEL  (SPY, QQQ, 2016-2026)",SPY,15,2542,-0.00353728018905497,-0.005703615135045803,-0.011716516431804047,-0.008179236242749077,0.8290729294476772
"ETF PANEL  (SPY, QQQ, 2016-2026)",SPY,30,2542,-0.004013664281956819,-0.009651498863347596,0.010415153906256469,0.014428818188213288,0.7945438271497569
"ETF PANEL  (SPY, QQQ, 2016-2026)",SPY,60,2542,-0.004553537769580451,-0.00451500182258413,-0.013930720274558439,-0.009415718451974309,0.7318020919560826
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",ES,5,192,-0.029106505202785016,-0.006569187473051796,-0.029088497600835206,-0.02251931012778341,0.7791183523610965
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",ES,15,192,-0.038551771279385916,-0.006488310530130548,-0.04699299336089857,-0.040504682830768024,0.7536101402270983
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",ES,30,192,-0.04801484539647727,-0.019195963921135428,-0.07330943360400233,-0.0541134696828669,0.7211471196248374
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",ES,60,192,-0.03695974581423256,-0.004711012733392916,-0.055094418079489005,-0.05038340534609609,0.6349044038801066
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MES,5,131,-0.06601861121388408,-0.0030969245745933183,-0.06479852509311845,-0.061701600518525135,0.8193749546805887
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MES,15,131,-0.07229405970364855,0.021583008538452075,-0.07123699537118977,-0.09282000390964185,0.7953778044571171
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MES,30,131,-0.09505922666119138,-0.007494762901605556,-0.12184447524164521,-0.11434971234003966,0.7462686567164178
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MES,60,131,-0.09882401244722305,-0.017075871676987875,-0.11820407324430482,-0.10112820156731694,0.6654086801072598
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MNQ,5,131,-0.04571632265569203,-0.01587230570303566,-0.05632122940882622,-0.04044892370579056,1.2021366978838097
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MNQ,15,131,-0.05523230059441331,-0.0056080882195876924,-0.06323668656281245,-0.05762859834322476,1.1442491532168058
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MNQ,30,131,-0.0644292681148626,-0.009953661238309763,-0.0953273014922833,-0.08537364025397354,1.077366393694238
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",MNQ,60,131,-0.07299904316386141,-0.007735986155518626,-0.08350296649432165,-0.07576698033880302,0.9406362614794436
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",NQ,5,192,-0.03198762935933175,-0.00851117124157974,-0.04557001273832828,-0.03705884149674854,1.109518562649081
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",NQ,15,192,-0.04066768218663297,-0.009534624208337616,-0.04229827655069052,-0.0327636523423529,1.0453160039864149
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",NQ,30,192,-0.046428893677519456,-0.01892208269412521,-0.07706462605421027,-0.058142543360085064,1.01574679996817
"FUTURES PANEL  (ES, NQ, MES, MNQ, 2025-2026)",NQ,60,192,-0.037547968184063585,-0.0077947161566669365,-0.05172564263565893,-0.043930926478991994,0.8866080368016431
