symbol,strategy,variant,slip_ticks,net,trades,per_trade
ES,breakout.range_expansion.q90,ungated,0.0,-13259.560000000001,902,-14.700177383592019
ES,breakout.range_expansion.q90,ungated,1.0,-24534.560000000005,902,-27.200177383592024
ES,breakout.range_expansion.q90,gated,0.0,2089.4199999999983,436,4.792247706422014
ES,breakout.range_expansion.q90,gated,1.0,-3360.5800000000027,436,-7.707752293577988
ES,revert.vwap.q90,ungated,0.0,-2008.7000000000025,1540,-1.304350649350651
ES,revert.vwap.q90,ungated,1.0,-21258.700000000004,1540,-13.804350649350653
ES,revert.vwap.q90,gated,0.0,1268.8000000000025,1040,1.2200000000000024
ES,revert.vwap.q90,gated,1.0,-11731.199999999999,1040,-11.28
ES,revert.vwap.q95,ungated,0.0,7723.819999999994,956,8.079309623430957
ES,revert.vwap.q95,ungated,1.0,-4226.180000000004,956,-4.420690376569042
ES,revert.vwap.q95,gated,0.0,8385.359999999997,738,11.362276422764223
ES,revert.vwap.q95,gated,1.0,-839.6400000000023,738,-1.1377235772357754
NQ,breakout.range_expansion.q80,ungated,0.0,-10055.539999999999,1893,-5.311959852086635
NQ,breakout.range_expansion.q80,ungated,1.0,-19520.54,1893,-10.311959852086636
NQ,breakout.range_expansion.q80,gated,0.0,14343.300000000003,1265,11.338577075098817
NQ,breakout.range_expansion.q80,gated,1.0,8018.300000000001,1265,6.338577075098815
NQ,breakout.range_expansion.q90,ungated,0.0,-7810.1800000000085,881,-8.865130533484686
NQ,breakout.range_expansion.q90,ungated,1.0,-12215.180000000008,881,-13.865130533484685
NQ,breakout.range_expansion.q90,gated,0.0,7070.039999999999,582,12.14783505154639
NQ,breakout.range_expansion.q90,gated,1.0,4160.039999999997,582,7.147835051546387
NQ,breakout.failed_reversal,ungated,0.0,437.6999999999998,285,1.53578947368421
NQ,breakout.failed_reversal,ungated,1.0,-987.3000000000006,285,-3.464210526315792
NQ,breakout.failed_reversal,gated,0.0,1052.7800000000007,199,5.290351758793973
NQ,breakout.failed_reversal,gated,1.0,57.77999999999929,199,0.2903517587939663
NQ,breakout.compression_expansion,ungated,0.0,-824.4199999999928,1689,-0.488111308466544
NQ,breakout.compression_expansion,ungated,1.0,-9269.42,1689,-5.488111308466548
NQ,breakout.compression_expansion,gated,0.0,12135.699999999993,685,17.716350364963493
NQ,breakout.compression_expansion,gated,1.0,8710.699999999993,685,12.716350364963494
NQ,revert.z_60.q95,ungated,0.0,9830.2,2160,4.551018518518519
NQ,revert.z_60.q95,ungated,1.0,-969.8000000000038,2160,-0.44898148148148326
NQ,revert.z_60.q95,gated,0.0,-2106.4199999999983,1339,-1.57312920089619
NQ,revert.z_60.q95,gated,1.0,-8801.420000000006,1339,-6.5731292008961955
NQ,revert.vwap.q90,ungated,0.0,42547.51999999999,1666,25.538727490996393
