symbol,strategy,family,kind,evaluable,gate_on,base_trades,base_net,base_per_trade,base_per_session,base_t,base_win,base_pf,base_mdd,base_consec,gated_trades,gated_net,gated_per_trade,gated_per_session,gated_t,gated_win,gated_pf,gated_mdd,gated_consec,anti_trades,anti_net,anti_per_trade,ctrl_pt_p05,ctrl_pt_p50,ctrl_pt_p95,ctrl_pt_pctile,ctrl_net_p50,ctrl_net_pctile
ES,trend.ret_15.q80,A.trend,trend,210,107,4619,-83797.32,-18.141874864689328,-399.03485714285716,-4.229694314125517,0.3238095238095238,0.4466835475401193,-85171.72000000002,12,2369,-30492.32,-12.871388771633601,-284.974953271028,-1.7819465998751218,0.3925233644859813,0.6211271931699238,-39516.06,8,2250,-53305.00000000001,-23.691111111111116,-24.70330668910391,-19.219653557762904,-15.11075163636863,1.0,-45751.64000000001,1.0
ES,trend.ret_15.q90,A.trend,trend,210,107,3344,-55340.320000000014,-16.549138755980866,-263.5253333333334,-3.7819203487027524,0.3142857142857143,0.4969869382788181,-54880.70000000003,20,1675,-12931.5,-7.720298507462687,-120.85514018691589,-1.0336134847059224,0.40186915887850466,0.7652966882902621,-18824.56,6,1669,-42408.82000000001,-25.409718394248056,-22.56945334834191,-18.053755956208953,-12.94905105353217,1.0,-30917.0,1.0
ES,trend.ret_30.q80,A.trend,trend,210,107,4620,-85663.6,-18.541904761904764,-407.9219047619048,-4.386844464242015,0.3142857142857143,0.43613886014264297,-86780.44000000003,12,2361,-30462.08000000001,-12.902193985599325,-284.6923364485982,-1.8107859062130147,0.37383177570093457,0.6144240615360468,-39652.100000000006,9,2259,-55201.51999999999,-24.436263833554666,-24.797587357574777,-19.766331545725855,-15.45276559875125,1.0,-47158.90000000001,1.0
ES,trend.ret_30.q90,A.trend,trend,210,107,3344,-55740.32000000001,-16.668755980861246,-265.43009523809525,-3.824694853751356,0.3142857142857143,0.4921851256101214,-55280.700000000026,20,1673,-12936.439999999999,-7.732480573819485,-120.90130841121494,-1.0414140088725616,0.40186915887850466,0.7625396671556683,-18429.500000000004,6,1671,-42803.880000000005,-25.615727109515262,-22.645556782155317,-17.969580851034692,-12.72271003371685,1.0,-30710.020000000004,1.0
ES,trend.ret_60.q80,A.trend,trend,210,107,4491,-93800.98000000001,-20.886435092407037,-446.6713333333334,-4.807351961134612,0.319047619047619,0.40480017929414097,-94657.92000000007,12,2305,-37462.9,-16.25288503253796,-350.12056074766355,-2.2201806822236225,0.37383177570093457,0.558203847314993,-45652.05999999999,9,2186,-56338.08000000001,-25.772223238792318,-27.30139595609797,-22.856676521755226,-18.20699065836299,1.0,-53130.36,1.0
ES,trend.ret_60.q90,A.trend,trend,210,107,3293,-58272.54000000001,-17.695882174309144,-277.4882857142858,-4.033289033146907,0.32857142857142857,0.47494581644574263,-57982.979999999996,14,1637,-14775.360000000002,-9.025876603543068,-138.08747663551404,-1.2097191116015478,0.40186915887850466,0.7323675736301809,-19529.060000000005,6,1656,-43497.18000000001,-26.266413043478266,-24.4872112755182,-19.232223557692308,-14.082950304692003,1.0,-32057.940000000002,1.0
ES,trend.ma_agree.30_120,A.trend,trend,210,107,4463,-114857.64,-25.735523190678915,-546.9411428571428,-4.702140926181815,0.3523809523809524,0.4123658047377203,-116638.43999999996,9,2290,-63806.200000000004,-27.86296943231441,-596.3196261682243,-2.9571679730815603,0.3925233644859813,0.47390986659551665,-74914.56000000001,10,2173,-51051.439999999995,-23.493529682466633,-30.855279183678398,-26.419462086409652,-18.583397329243322,0.3,-58448.56,0.3
ES,trend.multi_horizon_agree,A.trend,trend,210,107,5680,-115407.9,-20.318292253521125,-549.5614285714286,-4.481615650219834,0.2857142857142857,0.4191570824918649,-119636.84,13,2870,-46861.10000000001,-16.32790940766551,-437.95420560747675,-2.055567336668294,0.32710280373831774,0.577205315142461,-60855.679999999986,9,2810,-68546.8,-24.39387900355872,-26.685494778490654,-21.354246855611507,-15.12151973062359,0.925,-62129.76,0.925
ES,trend.accel_confirm,A.trend,trend,210,107,7210,-177553.80000000002,-24.62604715672677,-845.4942857142858,-7.404413070673097,0.2571428571428571,0.23784398985347596,-178651.73999999993,14,3721,-106552.88000000002,-28.635549583445314,-995.8213084112151,-5.260700282474801,0.2803738317757009,0.24583906222993734,-112281.57999999997,14,3489,-71000.91999999998,-20.349934078532527,-28.808851652614543,-24.743055152637922,-20.28949230009078,0.075,-91094.23000000001,0.075
ES,breakout.opening_range.q90,B.breakout,breakout,210,107,666,-34717.48,-52.128348348348354,-165.32133333333334,-2.3728556542810275,0.16666666666666666,0.512748611681858,-37913.659999999996,6,346,-24520.380000000005,-70.86815028901735,-229.1624299065421,-1.9336057732803824,0.14953271028037382,0.4584157182462483,-28226.44000000001,4,320,-10197.099999999999,-31.865937499999994,-75.50420443404042,-47.59972317317909,-12.444370833932782,0.15,-17576.760000000002,0.15
ES,breakout.opening_range.q95,B.breakout,breakout,210,107,260,-12057.8,-46.37615384615384,-57.41809523809523,-1.1666001174397023,0.06666666666666667,0.5987292772081902,-18115.059999999998,4,82,-572.4600000000012,-6.981219512195136,-5.350093457943936,-0.06206665914190469,0.04672897196261682,0.9588702133437943,-7052.360000000001,2,178,-11485.34,-64.52438202247191,-81.04967799642218,-15.587206008175682,34.51503150057274,0.575,-1959.999999999999,0.6
ES,breakout.range_expansion.q80,B.breakout,breakout,210,107,1877,-30470.060000000005,-16.233383058071393,-145.09552380952383,-1.9509219688283346,0.3952380952380952,0.658442933291245,-33350.70000000003,7,989,-4875.919999999997,-4.930151668351868,-45.5693457943925,-0.34762447909726996,0.4766355140186916,0.9016351111121871,-15244.499999999996,4,888,-25594.140000000003,-28.822229729729735,-26.312091548480222,-16.123446078560804,-7.348509172968823,0.95,-15552.189999999999,0.95
ES,breakout.range_expansion.q90,B.breakout,breakout,210,107,902,-13259.560000000001,-14.700177383592019,-63.14076190476191,-1.15566393310382,0.3952380952380952,0.7659856021658524,-20364.18,9,436,2089.4199999999983,4.792247706422014,19.52728971962615,0.20578868686555066,0.411214953271028,1.0679647968231787,-9572.660000000003,6,466,-15348.980000000003,-32.93772532188842,-34.10469978165939,-17.716158839993785,-2.2573751477541424,1.0,-8369.340000000002,1.0
ES,breakout.failed_reversal,B.breakout,breakout,210,107,231,-3610.6800000000003,-15.630649350649351,-17.193714285714286,-2.3313534629067845,0.09047619047619047,0.43494658825223254,-3786.54,4,73,-1500.94,-20.56082191780822,-14.027476635514018,-1.262939291365255,0.08411214953271028,0.47592877094972075,-1622.1200000000001,2,158,-2109.7400000000002,-13.352784810126584,-32.871517857142855,-16.894005575314814,-6.87695512820513,0.4,-1637.8600000000001,0.575
ES,breakout.compression_expansion,B.breakout,breakout,210,107,2183,-26776.74,-12.26602840128264,-127.50828571428572,-2.234068827442672,0.4523809523809524,0.6815072085905991,-30824.08,7,624,-2021.2200000000005,-3.239134615384616,-18.889906542056078,-0.22919858338416313,0.4766355140186916,0.9479260274537289,-10897.32,5,1559,-24755.52,-15.879101988454137,-20.839102947950252,-11.041483773879854,-5.50346402971007,0.975,-10416.75,1.0
ES,revert.z_60.q90,C.reversion,reversion,210,107,3348,-52980.44,-15.824504181600956,-252.28780952380953,-3.826990551301191,0.3904761904761905,0.46712721191162954,-55853.30000000002,10,1676,-41147.78,-24.55118138424821,-384.55869158878505,-3.448691475283121,0.34579439252336447,0.38616113251996914,-42790.74000000001,9,1672,-11832.66,-7.07694976076555,-19.553867699214162,-14.468728351819422,-9.792091923593505,0.0,-24763.220000000005,0.0
ES,revert.z_60.q95,C.reversion,reversion,210,107,2174,-27430.22,-12.617396504139835,-130.62009523809525,-2.748869292404342,0.44761904761904764,0.5694995971251656,-28540.920000000006,6,1090,-23757.700000000008,-21.79605504587157,-222.0345794392524,-2.704225216583552,0.4392523364485981,0.4775785621112795,-24484.12000000001,5,1084,-3672.5200000000013,-3.3879335793357948,-22.12969932011914,-12.978730587722335,-6.99296967665936,0.075,-14497.260000000002,0.075
ES,revert.vwap.q90,C.reversion,reversion,210,107,1540,-2008.7000000000025,-1.304350649350651,-9.565238095238108,-0.10577112238621197,0.5285714285714286,0.9746865591892443,-13780.06,5,1040,1268.8000000000025,1.2200000000000024,11.857943925233668,0.07341692481014081,0.5607476635514018,1.0222843965315866,-18110.46,5,500,-3277.4999999999986,-6.554999999999997,-24.935573593073585,-2.0060421400797894,14.057855845540319,0.575,-1698.4600000000028,0.625
ES,revert.vwap.q95,C.reversion,reversion,210,107,956,7723.819999999994,8.079309623430957,36.780095238095214,0.45149229316745043,0.41904761904761906,1.137003762192537,-11256.440000000002,5,738,8385.359999999997,11.362276422764223,78.36785046728968,0.5235174566434937,0.5327102803738317,1.1898330808371222,-11498.400000000001,4,218,-661.5400000000006,-3.0345871559633055,-17.327798525885182,9.802135164288925,31.322467681527115,0.525,5299.2199999999975,0.65
ES,revert.z_calm_only,C.reversion,reversion,210,107,1196,-22795.880000000005,-19.060100334448165,-108.55180952380955,-4.22135829461683,0.44285714285714284,0.44034111972628714,-22729.860000000037,8,613,-19017.140000000003,-31.02306688417619,-177.73028037383182,-4.218996597420832,0.37383177570093457,0.33862949822182126,-18739.220000000012,7,583,-3778.740000000001,-6.481543739279591,-27.72743514666055,-21.485764843275817,-12.003453424168345,0.0,-13032.970000000003,0.0
ES,session.late_day_continuation,D.session,session,210,107,1929,-42416.62000000001,-21.988916537065844,-201.9839047619048,-3.070551495092612,0.4238095238095238,0.5696746391755924,-43677.91999999999,6,931,-16644.18,-17.877744360902255,-155.55308411214955,-1.4254108711003937,0.42990654205607476,0.6988763890451822,-24711.020000000004,6,998,-25772.440000000002,-25.824088176352706,-25.4306911072457,-16.986329210054905,-9.501778176493149,0.425,-16180.11,0.475
ES,session.late_day_fade,D.session,session,210,107,1929,-20391.620000000006,-10.571083462934165,-97.10295238095242,-1.6125812981492567,0.4857142857142857,0.7355944114882166,-28772.65999999999,6,931,-13669.18,-14.682255639097745,-127.74934579439253,-1.255369484643775,0.4953271028037383,0.7187867481568834,-23981.959999999992,6,998,-6722.439999999999,-6.735911823647293,-23.058221823506862,-15.573670789945098,-7.12930889275431,0.575,-14564.95,0.6
ES,session.opening_drive,D.session,session,210,107,1930,-26482.9,-13.721709844559586,-126.10904761904763,-1.2438231939072997,0.4714285714285714,0.7904217063882724,-31130.82,6,990,-13579.7,-13.716868686868688,-126.91308411214953,-0.8346905441855469,0.4953271028037383,0.8038851244013888,-24337.840000000004,6,940,-12903.199999999999,-13.726808510638296,-30.371841953128474,-11.264457717343134,2.2567762128325435,0.375,-10952.64,0.375
ES,session.midday_reversion,D.session,session,210,107,1455,-6387.4000000000015,-4.389965635738832,-30.416190476190483,-0.7704352465475015,0.5142857142857142,0.8521495420556938,-10151.800000000001,5,744,-5774.819999999998,-7.761854838709675,-53.970280373831756,-0.7818826070972916,0.514018691588785,0.8035756803126015,-8981.099999999999,5,711,-612.5800000000016,-0.8615752461322105,-9.050137210899672,-0.41824431340737356,5.663442023739942,0.1,-309.120000000001,0.1
ES,vol.expansion_trend,E.volatility,volatility,210,107,3869,-87837.32,-22.702848281209615,-418.2729523809524,-3.8509728953863807,0.36666666666666664,0.49193738330514525,-89429.18000000004,9,2021,-51539.380000000005,-25.501919841662545,-481.6764485981309,-2.7713981496514717,0.3364485981308411,0.4851159352241282,-55176.86000000001,8,1848,-36297.939999999995,-19.641742424242423,-31.715942188914923,-22.88082204934511,-14.345949937056961,0.275,-44776.05,0.275
ES,vol.contraction_revert,E.volatility,volatility,210,107,2149,-21648.22,-10.073624941833412,-103.08676190476191,-2.373764639826439,0.4380952380952381,0.6148015896034498,-24642.82,7,1078,-11212.339999999998,-10.401057513914655,-104.7882242990654,-1.4057830656601695,0.411214953271028,0.6690621448916043,-13165.699999999997,7,1071,-10435.880000000001,-9.7440522875817,-13.918682789035634,-7.950304485430536,-4.624875495805528,0.225,-8665.11,0.225
ES,vol.vol_of_vol_shock,E.volatility,volatility,210,107,900,-27377.0,-30.41888888888889,-130.36666666666667,-1.8504022322900542,0.2571428571428571,0.5983551000407852,-36693.67999999999,5,701,-22574.78,-32.20368045649072,-210.97925233644858,-1.6199378080246187,0.37383177570093457,0.5953761846228188,-32165.64,5,199,-4802.22,-24.13175879396985,-53.95475816980535,-31.795669043276405,-9.871588267847265,0.475,-16525.649999999998,0.15
ES,volume.heavy_continuation.q80,F.volume,volume,210,107,4934,-90263.02000000002,-18.294085934333204,-429.8239047619048,-5.952104990144519,0.23809523809523808,0.3061800486318767,-91503.40000000001,15,2447,-34612.15999999999,-14.144732325296276,-323.4781308411214,-2.521945292607532,0.32710280373831774,0.49351443342566864,-42476.34,9,2487,-55650.86,-22.376702854845195,-22.34130195182824,-18.185223501242135,-15.13756934623159,0.975,-44601.12,0.975
ES,volume.heavy_continuation.q90,F.volume,volume,210,107,2579,-43961.12000000001,-17.045800697944944,-209.3386666666667,-3.850453954402448,0.3,0.4567432314600433,-46003.21999999998,11,1281,-14717.180000000002,-11.488821233411398,-137.54373831775703,-1.4341407082152509,0.34579439252336447,0.6831563161069673,-18350.82,8,1298,-29243.940000000006,-22.530000000000005,-24.44444524792537,-16.71774319066148,-13.006319097763694,0.975,-21485.950000000004,0.975
ES,volume.climax_reversion,F.volume,volume,210,107,679,-9491.619999999997,-13.978821796759936,-45.19819047619046,-1.1915296249153569,0.46190476190476193,0.7648137117212304,-10061.840000000002,7,330,-8084.900000000001,-24.49969696969697,-75.55981308411215,-1.1365993987751708,0.5046728971962616,0.7014672411170175,-11200.120000000004,10,349,-1406.7199999999996,-4.030716332378223,-25.646043794490872,-11.394805640243902,6.292245249627411,0.1,-3687.2200000000003,0.1
NQ,trend.ret_15.q80,A.trend,trend,210,132,4656,-62069.679999999986,-13.331116838487969,-295.5699047619047,-1.4737795019847013,0.3904761904761905,0.75499014271355,-76589.04000000002,7,2904,-3747.12,-1.2903305785123966,-28.387272727272727,-0.09798767129407036,0.4393939393939394,0.9767404067958294,-41215.94,6,1752,-58322.56,-33.28913242009132,-18.99564948820465,-10.46166143528284,-3.954732679282161,0.975,-30644.120000000003,0.975
NQ,trend.ret_15.q90,A.trend,trend,210,132,3397,-69685.66,-20.513882837798057,-331.8364761904762,-2.701980384140351,0.35714285714285715,0.6126309196144368,-71594.59999999999,9,2128,-28538.839999999997,-13.411109022556388,-216.20333333333332,-1.2652967040812622,0.4166666666666667,0.7463980663621662,-43439.17999999999,6,1269,-41146.82000000001,-32.42460204885737,-27.556805203161495,-21.5883671256903,-16.545130885030048,1.0,-46638.399999999994,1.0
NQ,trend.ret_30.q80,A.trend,trend,210,132,4611,-64629.57999999998,-14.016391238343088,-307.7599047619047,-1.545546178112447,0.3952380952380952,0.744675705223875,-85496.74000000002,7,2876,-6916.279999999993,-2.4048261474269794,-52.39606060606056,-0.18279723306927526,0.4393939393939394,0.9571234176881678,-52982.96000000001,6,1735,-57713.29999999999,-33.264149855907775,-22.022299302905452,-11.383130385743836,-4.888345607773096,0.975,-32652.929999999993,0.975
NQ,trend.ret_30.q90,A.trend,trend,210,132,3394,-70084.31999999999,-20.64947554507955,-333.7348571428571,-2.7167809209126847,0.3619047619047619,0.6104190905113879,-72168.25999999998,9,2125,-28967.500000000004,-13.631764705882354,-219.4507575757576,-1.2859484073620577,0.42424242424242425,0.7426619912449552,-44340.4,6,1269,-41116.82,-32.40096138691883,-27.721396142505508,-21.7816902267524,-16.72996478328089,1.0,-46686.829999999994,1.0
NQ,trend.ret_60.q80,A.trend,trend,210,132,4423,-63908.94,-14.44922903007009,-304.3282857142857,-1.5500743249358047,0.38095238095238093,0.7394541810898081,-81995.36000000004,10,2750,-4805.0000000000055,-1.7472727272727293,-36.40151515151519,-0.12741660342575498,0.4166666666666667,0.9691919046199318,-49459.82,9,1673,-59103.939999999995,-35.328117154811714,-22.447197429496747,-12.442605388828591,-5.288698200618455,0.975,-34438.04000000001,0.975
