symbol,leg,contracts,pass_rate,breach_rate,median_days_to_pass,median_min_buffer
MES,overnight,1,0.2525,0.2375,90.0,659.8649999999325
MES,overnight,2,0.48,0.905,42.0,392.7399999999907
MES,overnight,5,0.2475,1.0,8.0,982.6000000000131
MES,overnight,10,0.175,1.0,5.0,1808.8000000000247
MES,overnight,20,0.18,0.9925,4.0,2000.0
MES,rth,1,0.1075,0.8125,67.0,310.20999999999185
MES,rth,2,0.1475,0.9975,21.0,543.0999999999801
MES,rth,5,0.1675,1.0,7.0,1000.1500000000015
MES,rth,10,0.1725,0.9975,4.0,2000.0
MES,rth,20,0.115,1.0,4.0,2000.0
MNQ,overnight,1,0.4075,0.9825,37.0,362.32499999998765
MNQ,overnight,2,0.295,1.0,19.0,695.3799999999756
MNQ,overnight,5,0.195,0.9875,5.0,2000.0
MNQ,overnight,10,0.13,0.9925,4.0,2000.0
MNQ,overnight,20,0.125,0.9875,3.0,2000.0
MNQ,rth,1,0.2225,1.0,14.0,569.0599999999977
MNQ,rth,2,0.255,1.0,8.0,826.1999999999825
MNQ,rth,5,0.1975,0.9925,4.0,2000.0
MNQ,rth,10,0.105,0.9925,4.0,2000.0
MNQ,rth,20,0.1025,1.0,4.0,2000.0
ES,overnight,1,0.2175,0.9975,5.0,1385.8900000000003
ES,overnight,2,0.2275,0.985,4.0,2000.0
ES,overnight,5,0.11,0.99,4.0,2000.0
ES,rth,1,0.2075,1.0,5.0,2000.0
ES,rth,2,0.1375,1.0,4.0,2000.0
ES,rth,5,0.04,1.0,6.0,2000.0
NQ,overnight,1,0.21,0.9925,4.0,2000.0
NQ,overnight,2,0.1625,0.9825,3.0,2000.0
NQ,overnight,5,0.07,0.9825,3.0,2000.0
NQ,rth,1,0.14,0.995,5.0,2000.0
NQ,rth,2,0.105,1.0,3.5,2000.0
NQ,rth,5,0.05,0.9975,4.0,2000.0
MES,rth|quiet,5,0.4575,0.8475,37.0,825.3000000000029
MES,rth|quiet,10,0.2425,0.985,17.0,1776.0500000000015
MES,rth|quiet,20,0.23,0.985,15.0,2000.0
MES,rth|loud,5,0.1825,1.0,10.0,1137.6500000000015
MES,rth|loud,10,0.1525,1.0,7.0,2000.0
MES,rth|loud,20,0.09,1.0,7.0,2000.0
MNQ,rth|quiet,5,0.2925,0.92,23.0,1593.9000000000015
MNQ,rth|quiet,10,0.1,0.975,22.5,2000.0
MNQ,rth|quiet,20,0.055,0.9975,6.5,2000.0
MNQ,rth|loud,5,0.21,1.0,6.0,2000.0
MNQ,rth|loud,10,0.135,1.0,5.0,2000.0
MNQ,rth|loud,20,0.095,1.0,5.0,2000.0
