h,title,panel,sym,pred_sign,n,r,t,rho,lo,hi,signed_ok,passes_bonf,passes_naive
A,Overnight return continues into the regular session,ETF 10y,QQQ,1,2659,-0.04719031719826899,-2.4351896195362097,0.000398922564106518,-0.08505079935123834,-0.009193759052575795,False,False,False
A,Overnight return continues into the regular session,ETF 10y,SPY,1,2662,-0.04605407043974767,-2.3777702703910486,0.01036474835666638,-0.08389889611867689,-0.008076580822329005,False,False,False
A,Overnight return continues into the regular session,futures,ES,1,312,0.0030430763606814435,0.053579136258942055,0.05865660549121586,-0.1080341480516867,0.11404525894500787,True,False,False
A,Overnight return continues into the regular session,futures,MES,1,251,-0.013188677924392486,-0.20813192947144402,0.040130525516979695,-0.1367867386146243,0.11081372449347539,False,False,False
A,Overnight return continues into the regular session,futures,MNQ,1,251,0.03721333885394103,0.5876236034615242,0.04347941567065073,-0.08700902116512216,0.16029616377432798,True,False,False
A,Overnight return continues into the regular session,futures,NQ,1,312,0.03772709111290133,0.6647272166258416,0.049973566903392365,-0.0736220486548276,0.14814718559604054,True,False,False
B,Overnight return reverses during the regular session,ETF 10y,QQQ,-1,2659,-0.04719031719826899,-2.4351896195362097,0.000398922564106518,-0.08505079935123834,-0.009193759052575795,True,False,True
B,Overnight return reverses during the regular session,ETF 10y,SPY,-1,2662,-0.04605407043974767,-2.3777702703910486,0.01036474835666638,-0.08389889611867689,-0.008076580822329005,True,False,True
B,Overnight return reverses during the regular session,futures,ES,-1,312,0.0030430763606814435,0.053579136258942055,0.05865660549121586,-0.1080341480516867,0.11404525894500787,False,False,False
B,Overnight return reverses during the regular session,futures,MES,-1,251,-0.013188677924392486,-0.20813192947144402,0.040130525516979695,-0.1367867386146243,0.11081372449347539,True,False,False
B,Overnight return reverses during the regular session,futures,MNQ,-1,251,0.03721333885394103,0.5876236034615242,0.04347941567065073,-0.08700902116512216,0.16029616377432798,False,False,False
B,Overnight return reverses during the regular session,futures,NQ,-1,312,0.03772709111290133,0.6647272166258416,0.049973566903392365,-0.0736220486548276,0.14814718559604054,False,False,False
C,Overnight range predicts regular-session range,futures,ES,1,312,0.402554946386099,7.742782990319459,0.4731314882584106,0.3051546367243123,0.4916202450844676,True,True,True
C,Overnight range predicts regular-session range,futures,MES,1,251,0.39095790174978584,6.7026882335482005,0.4584177575412635,0.2807261252739544,0.49101005002024634,True,True,True
C,Overnight range predicts regular-session range,futures,MNQ,1,251,0.3464041897351703,5.826938745647546,0.46258319104534235,0.23255767621995538,0.4508861024760405,True,True,True
C,Overnight range predicts regular-session range,futures,NQ,1,312,0.39103359045340513,7.480479463804677,0.5062736129736324,0.2927021910683517,0.48118111236234323,True,True,True
D,Where the overnight session closed inside its range predicts the first 30 minutes,futures,ES,1,312,-0.05310324053466415,-0.93630012458137,-0.038454073086816504,-0.16318173859413726,0.0582811404126813,False,False,False
D,Where the overnight session closed inside its range predicts the first 30 minutes,futures,MES,1,251,-0.07147314382126034,-1.130718972119634,-0.031517798364256416,-0.19358140533966003,0.05281570937596935,False,False,False
D,Where the overnight session closed inside its range predicts the first 30 minutes,futures,MNQ,1,251,-0.05223943411902363,-0.8254514470755046,-0.051310956424010866,-0.1749293667203092,0.07204803771725304,False,False,False
D,Where the overnight session closed inside its range predicts the first 30 minutes,futures,NQ,1,312,-0.051327479678259,-0.9049063132231362,-0.05831343195566143,-0.16144803533866486,0.060055522274510297,False,False,False
E,The opening gap fills,ETF 10y,QQQ,-1,2659,-0.04719031719826899,-2.4351896195362097,0.000398922564106518,-0.08505079935123834,-0.009193759052575795,True,False,True
E,The opening gap fills,ETF 10y,SPY,-1,2662,-0.04605407043974767,-2.3777702703910486,0.01036474835666638,-0.08389889611867689,-0.008076580822329005,True,False,True
E,The opening gap fills,futures,ES,-1,312,0.06265313995934466,1.1052938632581384,0.05220506190753243,-0.048726572318413465,0.17249381103228445,False,False,False
E,The opening gap fills,futures,MES,-1,251,0.06936819792013489,1.097254849540067,0.055057968237564904,-0.05492500685203154,0.19154441029921218,False,False,False
E,The opening gap fills,futures,MNQ,-1,251,0.11707549877310217,1.8602128611723299,0.07797609561752987,-0.006845171005796917,0.23745468624081495,False,False,False
E,The opening gap fills,futures,NQ,-1,312,0.10397560938228975,1.8406561498754712,0.07346622845939695,-0.007147632893951198,0.21256218613516248,False,False,False
F,A one-way overnight session predicts a trending regular session,futures,ES,1,312,-0.0104285292020738,-0.18362318896733215,-0.06086015463960771,-0.1213287506462017,0.10072883301016203,False,False,False
F,A one-way overnight session predicts a trending regular session,futures,MES,1,251,-0.03882331478332495,-0.6130837834200192,-0.10714399544678428,-0.1618666352322336,0.08540869743361447,False,False,False
F,A one-way overnight session predicts a trending regular session,futures,MNQ,1,251,-0.08775123240881272,-1.3900533331090612,-0.12430278884462152,-0.20929854153415337,0.03646643207445535,False,False,False
F,A one-way overnight session predicts a trending regular session,futures,NQ,1,312,-0.05432606725704418,-0.9579237320190291,-0.0824613835770262,-0.1643752084252946,0.05705885398347635,False,False,False
G,Heavy overnight volume predicts a large regular-session range,futures,ES,1,283,0.38415302465056844,6.9747550097964695,0.4660202399268931,0.2800996351426239,0.4792845045594958,True,True,True
G,Heavy overnight volume predicts a large regular-session range,futures,MES,1,222,0.44347933135720385,7.339032154336424,0.5305173485073248,0.3311409310929495,0.5434215296243048,True,True,True
