variant,symbol,anchor,sigma,hold,tr_trades,tr_sessions,tr_bps_per_trade,tr_bps_per_day,tr_win_rate,tr_profit_factor,tr_sharpe,tr_t_stat,tr_max_dd_bps,tr_trades_per_day,tr_median_bars,tr_pct_reversion,tr_mfe_mae,va_trades,va_sessions,va_bps_per_trade,va_bps_per_day,va_win_rate,va_profit_factor,va_sharpe,va_t_stat,va_max_dd_bps,va_trades_per_day,va_median_bars,va_pct_reversion,va_mfe_mae
vwap.1.5sd.30m,SPY,vwap,1.5,30,12231,1496,-0.7533911909998277,-6.15957731090835,0.4988144877769602,0.8785693705268235,-1.9643897648471813,-4.786225860855029,-9577.853647075139,8.175802139037433,30.0,0.22107758973101135,0.848633320895833,4094,498,-1.2279307750903634,-10.094675889999897,0.48583292623351243,0.8608836657735909,-2.476324602402765,-3.481143878528232,-5177.5375749245295,8.220883534136545,30.0,0.21617000488519786,0.8440055334505552
vwap.1.5sd.30m,QQQ,vwap,1.5,30,12065,1492,-0.8737933841220662,-7.06589623286376,0.5036054703688355,0.8917971870700988,-1.8117104486055218,-4.408318150294738,-10842.28738805552,8.086461126005362,30.0,0.1992540406133444,0.8483971465918784,4073,498,-1.4306228945831903,-11.700656726179385,0.48514608396759146,0.8772565976439406,-2.1323919159289733,-2.997653481113331,-6000.6752078366435,8.17871485943775,30.0,0.19813405352320157,0.8573209792331267
vwap.1.5sd.30m,IWM,vwap,1.5,30,12079,1494,-0.48024073106462456,-3.882749525120214,0.5076579187018793,0.946503421776202,-0.929905747646233,-2.264195695400095,-7230.087332997952,8.085006693440429,30.0,0.20349366669426278,0.864416774412747,4015,498,-1.0440664163415216,-8.417523416889981,0.49613947696139477,0.9064574975869257,-1.6301358118217908,-2.2915967062585048,-4419.651829131421,8.062248995983936,30.0,0.19227895392278954,0.863165233561026
vwap.1.5sd.30m,DIA,vwap,1.5,30,11692,1427,-0.6243824521573891,-5.115823146898524,0.5082962709544988,0.8997975036455486,-1.5791406041378808,-3.7577900900693653,-7545.2833933999555,8.193412754029433,30.0,0.20287375983578515,0.8568869448114378,4107,498,-1.0058626752148911,-8.295337363669796,0.49233016800584367,0.8696437850923376,-2.313792388049125,-3.25266089915153,-4366.144480759972,8.24698795180723,30.0,0.2057462868273679,0.8608341187739433
vwap.1.5sd.60m,SPY,vwap,1.5,60,7779,1496,-0.833691950233912,-4.335086685073263,0.564854094356601,0.8978645804096352,-1.258314950822973,-3.065878099399464,-6751.672658362867,5.199866310160428,60.0,0.40930710888288985,0.7220568156971108,2592,498,-1.7448541895661482,-9.081650721597299,0.5354938271604939,0.8563009999815145,-2.1606096133572397,-3.037321085503022,-4674.843554206155,5.204819277108434,60.0,0.40316358024691357,0.723656300988914
vwap.1.5sd.60m,QQQ,vwap,1.5,60,7574,1492,-1.121739339684215,-5.694406004536357,0.5471349353049908,0.8932190793192828,-1.4290915444064967,-3.4773162557454693,-8985.445332664898,5.076407506702413,60.0,0.378003696857671,0.7329012633986214,2544,498,-2.2550120294244853,-11.51957952380701,0.5192610062893082,0.8600125319406347,-1.9954527233428505,-2.8051484147180634,-5914.238839839506,5.108433734939759,60.0,0.37342767295597484,0.7255611282607547
vwap.1.5sd.60m,IWM,vwap,1.5,60,7613,1494,-0.681551781633277,-3.4729944535302124,0.5593064494942861,0.9430703883607547,-0.7863170228717905,-1.9145764212261218,-5914.153411949547,5.095716198125837,60.0,0.3852620517535794,0.7375614781641775,2523,498,-1.4099203349907063,-7.1430301308866495,0.5370590566785572,0.9073010832025525,-1.317960747770938,-1.8527502350829002,-3773.9344805633514,5.066265060240964,60.0,0.36504161712247324,0.7613680091507447
vwap.1.5sd.60m,DIA,vwap,1.5,60,7360,1427,-0.7650757414250543,-3.9460108317367903,0.5567934782608696,0.9068765642138208,-1.134376571480254,-2.6994106968977443,-5920.068191511528,5.157673440784864,60.0,0.3830163043478261,0.7333909100697886,2575,498,-1.4024314224748398,-7.251527937495407,0.545242718446602,0.8690286670508056,-1.9174843623970665,-2.6955427991368346,-3851.5725231162064,5.170682730923695,60.0,0.3829126213592233,0.7418901755062186
vwap.2sd.30m,SPY,vwap,2.0,30,10472,1496,-0.8626899605261941,-6.038829723683358,0.4872994652406417,0.861985868091546,-2.060867977574225,-5.0212945447926955,-9293.548610155938,7.0,30.0,0.16539343009931246,0.8569163050573497,3513,498,-1.7024806844251572,-12.009667960613612,0.46171363506974095,0.8128404450723331,-3.1943355102846716,-4.490502374689982,-6039.994692876886,7.054216867469879,30.0,0.15542271562766866,0.8459164195386921
vwap.2sd.30m,QQQ,vwap,2.0,30,10388,1492,-1.050904078943804,-7.316884431681123,0.4896996534462842,0.8694736230215946,-2.084181010434938,-5.071303189685628,-11264.314316590135,6.962466487935657,30.0,0.14651520985752792,0.8538465461822893,3531,498,-1.49733124437827,-10.616619726706167,0.47380345511186633,0.8721161649377905,-2.0496491358997866,-2.8813361284078227,-5490.492798913687,7.090361445783133,30.0,0.15066553384310394,0.8883479018912805
vwap.2sd.30m,IWM,vwap,2.0,30,10366,1494,-0.6254533501182986,-4.339658251222412,0.4939224387420413,0.9309800916528596,-1.1036487708493687,-2.6872366393216462,-7283.855284311863,6.938420348058902,30.0,0.14904495465946363,0.8833369956635213,3466,498,-1.5032374261117794,-10.462291001814112,0.4809578765147144,0.8659248179795511,-2.2450780986220584,-3.1560643835839213,-5352.320811059224,6.959839357429719,30.0,0.14079630698211196,0.8752354580101539
vwap.2sd.30m,DIA,vwap,2.0,30,10178,1427,-0.5789165030776062,-4.1290905173958485,0.49675771271369623,0.907084473879163,-1.4038091990598747,-3.3405640275175967,-6240.541449102467,7.132445690259285,30.0,0.156317547651798,0.8904870350041865,3544,498,-1.1248342548422479,-8.004844576628367,0.4873024830699774,0.85559380162481,-2.4134030635788997,-3.3926906404140764,-4032.595808141844,7.116465863453815,30.0,0.15265237020316028,0.885559641652569
vwap.2sd.60m,SPY,vwap,2.0,60,6635,1496,-0.9090339921680112,-4.031711589595424,0.53353428786737,0.8918270415851668,-1.3116279441675944,-3.195774941681917,-6351.747565498054,4.435160427807487,60.0,0.34905802562170307,0.7495953662446067,2200,498,-2.614520246940847,-11.550089444316994,0.5,0.7964906088050806,-2.964371454690733,-4.167225707472926,-5821.427163998733,4.417670682730924,60.0,0.3290909090909091,0.7263961935643406
