session,bar,timestamp,kind,signed_quantity,price,reason,cost
2025-09-12,208,2025-09-12 16:58:00+00:00,ENTRY,1.0,24348.5,signal,1.1099999999999999
2025-09-12,209,2025-09-12 16:59:00+00:00,EXIT,-1.0,24346.0,signal_invalidation,1.1099999999999999
2025-09-12,272,2025-09-12 18:02:00+00:00,ENTRY,1.0,24350.25,signal,1.1099999999999999
2025-09-12,273,2025-09-12 18:03:00+00:00,EXIT,-1.0,24349.5,signal_invalidation,1.1099999999999999
2025-09-12,362,2025-09-12 19:32:00+00:00,ENTRY,1.0,24342.5,signal,1.1099999999999999
2025-09-12,363,2025-09-12 19:33:00+00:00,EXIT,-1.0,24342.0,signal_invalidation,1.1099999999999999
2025-09-12,377,2025-09-12 19:47:00+00:00,ENTRY,1.0,24346.5,signal,1.1099999999999999
2025-09-12,378,2025-09-12 19:48:00+00:00,EXIT,-1.0,24349.25,signal_invalidation,1.1099999999999999
2025-09-12,389,2025-09-12 19:59:00+00:00,ENTRY,1.0,24347.5,signal,1.1099999999999999
2025-09-12,390,2025-09-12 20:00:00+00:00,EXIT,-1.0,24336.5,signal_invalidation,1.1099999999999999
2025-09-17,286,2025-09-17 18:16:00+00:00,ENTRY,-1.0,24351.25,signal,1.1099999999999999
2025-09-17,287,2025-09-17 18:17:00+00:00,EXIT,1.0,24349.25,signal_invalidation,1.1099999999999999
2025-09-17,327,2025-09-17 18:57:00+00:00,ENTRY,-1.0,24352.0,signal,1.1099999999999999
2025-09-17,328,2025-09-17 18:58:00+00:00,EXIT,1.0,24379.75,signal_invalidation,1.1099999999999999
2025-09-23,258,2025-09-23 17:48:00+00:00,ENTRY,-1.0,24829.5,signal,1.1099999999999999
2025-09-23,259,2025-09-23 17:49:00+00:00,EXIT,1.0,24839.75,signal_invalidation,1.1099999999999999
2025-09-23,263,2025-09-23 17:53:00+00:00,ENTRY,-1.0,24822.5,signal,1.1099999999999999
2025-09-23,264,2025-09-23 17:54:00+00:00,EXIT,1.0,24816.25,signal_invalidation,1.1099999999999999
2025-09-23,265,2025-09-23 17:55:00+00:00,ENTRY,-1.0,24823.75,signal,1.1099999999999999
2025-09-23,266,2025-09-23 17:56:00+00:00,EXIT,1.0,24820.5,signal_invalidation,1.1099999999999999
2025-09-23,267,2025-09-23 17:57:00+00:00,ENTRY,-1.0,24832.25,signal,1.1099999999999999
2025-09-23,268,2025-09-23 17:58:00+00:00,EXIT,1.0,24838.0,signal_invalidation,1.1099999999999999
2025-09-23,277,2025-09-23 18:07:00+00:00,ENTRY,-1.0,24823.25,signal,1.1099999999999999
2025-09-23,278,2025-09-23 18:08:00+00:00,EXIT,1.0,24825.25,signal_invalidation,1.1099999999999999
2025-09-23,296,2025-09-23 18:26:00+00:00,ENTRY,-1.0,24823.5,signal,1.1099999999999999
2025-09-23,297,2025-09-23 18:27:00+00:00,EXIT,1.0,24823.25,signal_invalidation,1.1099999999999999
2025-09-23,301,2025-09-23 18:31:00+00:00,ENTRY,-1.0,24827.5,signal,1.1099999999999999
2025-09-23,302,2025-09-23 18:32:00+00:00,EXIT,1.0,24829.75,signal_invalidation,1.1099999999999999
2025-09-23,348,2025-09-23 19:18:00+00:00,ENTRY,-1.0,24824.25,signal,1.1099999999999999
2025-09-23,349,2025-09-23 19:19:00+00:00,EXIT,1.0,24823.5,signal_invalidation,1.1099999999999999
2025-09-23,370,2025-09-23 19:40:00+00:00,ENTRY,-1.0,24823.0,signal,1.1099999999999999
2025-09-23,371,2025-09-23 19:41:00+00:00,EXIT,1.0,24823.5,signal_invalidation,1.1099999999999999
2025-10-01,167,2025-10-01 16:17:00+00:00,ENTRY,1.0,24944.25,signal,1.1099999999999999
2025-10-01,168,2025-10-01 16:18:00+00:00,EXIT,-1.0,24946.25,signal_invalidation,1.1099999999999999
2025-10-01,169,2025-10-01 16:19:00+00:00,ENTRY,1.0,24937.0,signal,1.1099999999999999
2025-10-01,170,2025-10-01 16:20:00+00:00,EXIT,-1.0,24931.75,signal_invalidation,1.1099999999999999
2025-10-01,182,2025-10-01 16:32:00+00:00,ENTRY,1.0,24943.75,signal,1.1099999999999999
2025-10-01,183,2025-10-01 16:33:00+00:00,EXIT,-1.0,24946.5,signal_invalidation,1.1099999999999999
2025-10-01,189,2025-10-01 16:39:00+00:00,ENTRY,1.0,24943.75,signal,1.1099999999999999
2025-10-01,190,2025-10-01 16:40:00+00:00,EXIT,-1.0,24943.75,signal_invalidation,1.1099999999999999
2025-10-03,289,2025-10-03 18:19:00+00:00,ENTRY,-1.0,25006.25,signal,1.1099999999999999
2025-10-03,290,2025-10-03 18:20:00+00:00,EXIT,1.0,24996.5,signal_invalidation,1.1099999999999999
2025-10-03,291,2025-10-03 18:21:00+00:00,ENTRY,-1.0,25005.0,signal,1.1099999999999999
2025-10-03,292,2025-10-03 18:22:00+00:00,EXIT,1.0,25015.0,signal_invalidation,1.1099999999999999
2025-10-03,325,2025-10-03 18:55:00+00:00,ENTRY,-1.0,24999.75,signal,1.1099999999999999
2025-10-03,326,2025-10-03 18:56:00+00:00,EXIT,1.0,25007.25,signal_invalidation,1.1099999999999999
2025-10-03,381,2025-10-03 19:51:00+00:00,ENTRY,-1.0,25004.0,signal,1.1099999999999999
2025-10-03,382,2025-10-03 19:52:00+00:00,EXIT,1.0,25006.0,signal_invalidation,1.1099999999999999
2025-10-08,301,2025-10-08 18:31:00+00:00,ENTRY,1.0,25280.75,signal,1.1099999999999999
2025-10-08,302,2025-10-08 18:32:00+00:00,EXIT,-1.0,25283.0,signal_invalidation,1.1099999999999999
2025-10-08,310,2025-10-08 18:40:00+00:00,ENTRY,1.0,25278.25,signal,1.1099999999999999
2025-10-08,311,2025-10-08 18:41:00+00:00,EXIT,-1.0,25283.5,signal_invalidation,1.1099999999999999
2025-10-08,312,2025-10-08 18:42:00+00:00,ENTRY,1.0,25279.25,signal,1.1099999999999999
2025-10-08,313,2025-10-08 18:43:00+00:00,EXIT,-1.0,25278.5,signal_invalidation,1.1099999999999999
2025-10-14,367,2025-10-14 19:37:00+00:00,ENTRY,1.0,24785.25,signal,1.1099999999999999
2025-10-14,368,2025-10-14 19:38:00+00:00,EXIT,-1.0,24803.0,signal_invalidation,1.1099999999999999
2025-10-15,227,2025-10-15 17:17:00+00:00,ENTRY,-1.0,24735.5,signal,1.1099999999999999
2025-10-15,228,2025-10-15 17:18:00+00:00,EXIT,1.0,24734.25,signal_invalidation,1.1099999999999999
2025-10-15,231,2025-10-15 17:21:00+00:00,ENTRY,-1.0,24759.25,signal,1.1099999999999999
2025-10-15,232,2025-10-15 17:22:00+00:00,EXIT,1.0,24742.25,signal_invalidation,1.1099999999999999
2025-10-16,177,2025-10-16 16:27:00+00:00,ENTRY,-1.0,24885.25,signal,1.1099999999999999
2025-10-16,178,2025-10-16 16:28:00+00:00,EXIT,1.0,24881.25,signal_invalidation,1.1099999999999999
2025-10-16,205,2025-10-16 16:55:00+00:00,ENTRY,-1.0,24886.25,signal,1.1099999999999999
2025-10-16,206,2025-10-16 16:56:00+00:00,EXIT,1.0,24896.25,signal_invalidation,1.1099999999999999
2025-10-16,217,2025-10-16 17:07:00+00:00,ENTRY,-1.0,24883.25,signal,1.1099999999999999
2025-10-16,218,2025-10-16 17:08:00+00:00,EXIT,1.0,24894.25,signal_invalidation,1.1099999999999999
2025-10-16,234,2025-10-16 17:24:00+00:00,ENTRY,-1.0,24893.75,signal,1.1099999999999999
2025-10-16,235,2025-10-16 17:25:00+00:00,EXIT,1.0,24894.25,signal_invalidation,1.1099999999999999
